NOVA_LB,NOVA_WICK,symbol,net,trades,win_pct,gross,costs,risk_total
10,0.5,BTCUSDT,-1077.47,408,12.25,-18.07,1059.4,0.0
10,0.6,BTCUSDT,-694.36,274,12.41,17.14,711.5,0.0
10,0.7,BTCUSDT,-471.66,167,11.38,-38.08,433.59,0.0
20,0.5,BTCUSDT,-701.95,276,14.13,14.74,716.69,0.0
20,0.6,BTCUSDT,-460.29,188,13.3,27.92,488.2,0.0
20,0.7,BTCUSDT,-316.37,111,10.81,-28.19,288.19,0.0
55,0.5,BTCUSDT,-367.18,135,13.33,-16.66,350.52,0.0
55,0.6,BTCUSDT,-218.65,89,14.61,12.46,231.12,0.0
55,0.7,BTCUSDT,-173.08,53,9.43,-35.5,137.58,0.0
10,0.5,BNBUSDT,-937.87,343,13.41,-47.29,890.58,0.0
10,0.6,BNBUSDT,-613.05,230,14.78,-15.85,597.2,0.0
10,0.7,BNBUSDT,-363.55,142,14.08,5.18,368.73,0.0
20,0.5,BNBUSDT,-594.13,225,15.11,-9.9,584.23,0.0
20,0.6,BNBUSDT,-390.23,152,15.79,4.46,394.69,0.0
20,0.7,BNBUSDT,-236.18,99,15.15,20.91,257.09,0.0
55,0.5,BNBUSDT,-298.26,119,17.65,10.75,309.01,0.0
55,0.6,BNBUSDT,-183.66,82,19.51,29.3,212.96,0.0
55,0.7,BNBUSDT,-84.23,52,21.15,50.86,135.09,0.0
10,0.5,LINKUSDT,-805.67,323,22.6,33.08,838.75,0.0
10,0.6,LINKUSDT,-439.69,214,25.23,116.14,555.83,0.0
10,0.7,LINKUSDT,-201.98,118,27.12,104.56,306.54,0.0
20,0.5,LINKUSDT,-488.11,224,25.0,93.66,581.77,0.0
20,0.6,LINKUSDT,-277.47,159,27.67,135.57,413.04,0.0
20,0.7,LINKUSDT,-161.93,89,25.84,69.26,231.19,0.0
55,0.5,LINKUSDT,-230.1,122,25.41,86.8,316.9,0.0
55,0.6,LINKUSDT,-120.21,88,28.41,108.44,228.64,0.0
55,0.7,LINKUSDT,-83.15,50,26.0,46.74,129.89,0.0
10,0.5,SOLUSDT,-810.11,322,22.36,26.04,836.15,0.0
10,0.6,SOLUSDT,-569.15,202,20.79,-44.69,524.46,0.0
10,0.7,SOLUSDT,-320.6,108,22.22,-40.22,280.38,0.0
20,0.5,SOLUSDT,-643.96,211,20.85,-96.2,547.76,0.0
20,0.6,SOLUSDT,-448.72,133,20.3,-103.5,345.22,0.0
20,0.7,SOLUSDT,-261.69,73,20.55,-72.23,189.46,0.0
55,0.5,SOLUSDT,-317.99,112,24.11,-27.21,290.79,0.0
55,0.6,SOLUSDT,-206.82,75,26.67,-12.09,194.73,0.0
55,0.7,SOLUSDT,-126.94,41,26.83,-20.51,106.43,0.0
