symbol,dropped,net,trades,win_pct,pf,delta_vs_all14
LINKUSDT,MSS,4730.2505945624625,2878,83.04,1.4165752774505271,-3.8136890905580003
LINKUSDT,FVG,4125.950709888181,2575,82.99,1.4083574621569805,-608.1135737648392
LINKUSDT,SFP,4706.804679754257,2875,83.1,1.4151872027524226,-27.25960389876309
LINKUSDT,MicroBurst,4230.282378021913,2790,82.72,1.377356830844377,-503.7819056311073
LINKUSDT,RSI,4657.835865737619,2860,82.97,1.41141205238122,-76.22841791540122
LINKUSDT,MACD,4520.226323442995,2750,83.09,1.4170634328676963,-213.8379602100258
LINKUSDT,Bollinger,4684.691395178772,2608,83.36,1.4634300098440298,-49.37288847424861
LINKUSDT,EMA,4594.458577591638,2833,82.95,1.4098366840768168,-139.605706061383
LINKUSDT,ADX,4548.075193554333,2795,82.93,1.4111656634858412,-185.98909009868748
LINKUSDT,Stochastic,4386.208743264588,2755,82.83,1.400061486039946,-347.8555403884329
LINKUSDT,OBV,4644.511054083278,2671,83.38,1.448234980767788,-89.55322956974214
LINKUSDT,SuperTrend,4734.0642836530205,2879,83.05,1.4169111346232606,0.0
LINKUSDT,RSI7,4760.2463386948175,2877,83.11,1.4206800379385045,26.182055041796957
LINKUSDT,KAMA,4667.533562184772,2798,83.27,1.4302550388551445,-66.53072146824888
