symbol,NOVA_SCORE_TH,NOVA_FLOW_MOM,NOVA_VOL_MOM,net,trades,win_pct,pf
BTCUSDT,70,2.5,2.0,5.58794969588858,207,75.36,1.3912725629125573
BTCUSDT,70,2.5,2.5,6.4189759903921795,200,76.5,1.4897312794628057
BTCUSDT,70,2.5,3.0,6.885432495950286,191,77.49,1.6040832041970325
BTCUSDT,70,3.0,2.0,5.569602016483441,201,75.12,1.4018379152468654
BTCUSDT,70,3.0,2.5,6.5868039167689885,193,76.68,1.5269524354456618
BTCUSDT,70,3.0,3.0,6.632104283953885,185,77.3,1.5915196164733505
BTCUSDT,70,4.0,2.0,5.717698340130725,185,75.14,1.4528509195238781
BTCUSDT,70,4.0,2.5,6.077213795610544,179,75.98,1.516580626339786
BTCUSDT,70,4.0,3.0,5.9783718908965815,171,76.02,1.5508254693671566
BTCUSDT,72,2.5,2.0,5.58794969588858,207,75.36,1.3912725629125573
BTCUSDT,72,2.5,2.5,6.4189759903921795,200,76.5,1.4897312794628057
BTCUSDT,72,2.5,3.0,6.885432495950286,191,77.49,1.6040832041970325
BTCUSDT,72,3.0,2.0,5.569602016483441,201,75.12,1.4018379152468654
BTCUSDT,72,3.0,2.5,6.5868039167689885,193,76.68,1.5269524354456618
BTCUSDT,72,3.0,3.0,6.632104283953885,185,77.3,1.5915196164733505
BTCUSDT,72,4.0,2.0,5.717698340130725,185,75.14,1.4528509195238781
BTCUSDT,72,4.0,2.5,6.077213795610544,179,75.98,1.516580626339786
BTCUSDT,72,4.0,3.0,5.9783718908965815,171,76.02,1.5508254693671566
BTCUSDT,75,2.5,2.0,5.58794969588858,207,75.36,1.3912725629125573
BTCUSDT,75,2.5,2.5,6.4189759903921795,200,76.5,1.4897312794628057
BTCUSDT,75,2.5,3.0,6.885432495950286,191,77.49,1.6040832041970325
BTCUSDT,75,3.0,2.0,5.569602016483441,201,75.12,1.4018379152468654
BTCUSDT,75,3.0,2.5,6.5868039167689885,193,76.68,1.5269524354456618
BTCUSDT,75,3.0,3.0,6.632104283953885,185,77.3,1.5915196164733505
BTCUSDT,75,4.0,2.0,5.717698340130725,185,75.14,1.4528509195238781
BTCUSDT,75,4.0,2.5,6.077213795610544,179,75.98,1.516580626339786
BTCUSDT,75,4.0,3.0,5.9783718908965815,171,76.02,1.5508254693671566
