symbol,dropped,net,trades,win_pct,pf,delta_vs_all14
VETUSDT,MSS,5432.122203450492,772,90.16,2.4772700078646595,-78.32944493454033
VETUSDT,FVG,5095.557896509104,702,90.17,2.5482082715382695,-414.8937518759285
VETUSDT,SFP,5428.712123395465,769,90.12,2.4784174418364984,-81.73952498956714
VETUSDT,MicroBurst,4880.779417040999,750,90.13,2.360813323069854,-629.6722313440332
VETUSDT,RSI,5421.601442748025,766,90.21,2.4957655793645115,-88.8502056370071
VETUSDT,MACD,5258.306775807175,744,90.19,2.4899572153312635,-252.1448725778573
VETUSDT,Bollinger,5188.985811446996,726,90.63,2.6246108871570497,-321.46583693803586
VETUSDT,EMA,5607.675295370605,759,90.65,2.6321714024655045,97.2236469855734
VETUSDT,ADX,5610.375538705805,749,90.52,2.6592995069979652,99.92389032077335
VETUSDT,Stochastic,4965.237269875932,728,89.56,2.342167155809798,-545.2143785091002
VETUSDT,OBV,4836.422615956101,675,90.07,2.47242248302694,-674.0290324289308
VETUSDT,SuperTrend,5510.451648385032,772,90.28,2.5202784618983354,0.0
VETUSDT,RSI7,5533.748583376593,769,90.51,2.5717562702025707,23.296934991561102
VETUSDT,KAMA,5283.193493965717,747,90.09,2.4766277765289346,-227.25815441931536
