symbol,NOVA_LENGTH,NOVA_BB_MULT,NOVA_KC_MULT,NOVA_MOM_P,net,trades,win_pct,pf
XLMUSDT,12,2.0,1.0,8,-0.5492851899591372,1,0.0,0.0
XLMUSDT,12,2.0,1.0,12,-0.859771281979053,2,0.0,0.0
XLMUSDT,12,2.0,1.5,8,-0.4816014548550967,2,50.0,0.12322148192103212
XLMUSDT,12,2.0,1.5,12,-0.859771281979053,2,0.0,0.0
XLMUSDT,12,2.5,1.0,8,0.48992527546274867,1,100.0,inf
XLMUSDT,12,2.5,1.0,12,0.0,0,0.0,0.0
XLMUSDT,12,2.5,1.5,8,0.04277134431623214,4,50.0,1.0469441516337148
XLMUSDT,12,2.5,1.5,12,-0.859771281979053,2,0.0,0.0
XLMUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
XLMUSDT,20,2.0,1.0,12,0.0,0,0.0,0.0
XLMUSDT,20,2.0,1.5,8,0.0,0,0.0,0.0
XLMUSDT,20,2.0,1.5,12,-0.3104860920199157,1,0.0,0.0
XLMUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
XLMUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
XLMUSDT,20,2.5,1.5,8,0.0,0,0.0,0.0
XLMUSDT,20,2.5,1.5,12,-0.3104860920199157,1,0.0,0.0
