NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-01T03:06:00+00:00,2026-06-01T04:11:00+00:00,9.202948,9.137197,1000.0,-7.1446,,stop,65
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-01T09:51:00+00:00,2026-06-01T09:52:00+00:00,9.050751,9.003745,1000.0,-5.1936,,stop,1
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-01T17:01:00+00:00,2026-06-01T22:01:00+00:00,9.016707,8.954479,1000.0,-6.9013,,stop,300
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-01T17:46:00+00:00,2026-06-01T18:12:00+00:00,9.094808,9.019211,1000.0,-8.3121,,stop,26
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-02T03:56:00+00:00,2026-06-02T04:08:00+00:00,9.030725,8.971047,1000.0,-6.6083,,stop,12
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-02T13:06:00+00:00,2026-06-02T14:09:00+00:00,8.867513,8.810188,1000.0,-6.4646,,stop,63
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-03T00:36:00+00:00,2026-06-03T01:12:00+00:00,8.438956,8.359218,1000.0,-9.4488,,stop,36
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-03T05:06:00+00:00,2026-06-03T15:46:00+00:00,8.459984,8.369803,1000.0,-10.6597,,stop,640
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-03T06:26:00+00:00,2026-06-03T07:01:00+00:00,8.533079,8.480896,1000.0,-6.1153,,stop,35
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-03T10:11:00+00:00,2026-06-03T11:51:00+00:00,8.569125,8.506053,1000.0,-7.3604,,stop,100
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-03T11:06:00+00:00,2026-06-03T11:39:00+00:00,8.607175,8.549047,1000.0,-6.7535,,stop,33
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-03T21:36:00+00:00,2026-06-04T00:29:00+00:00,8.386889,8.281109,1000.0,-12.6125,,stop,173
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-04T03:06:00+00:00,2026-06-04T08:11:00+00:00,8.195641,8.014494,1000.0,-22.1028,,stop,305
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-04T12:06:00+00:00,2026-06-04T13:39:00+00:00,7.944314,8.11147,1000.0,21.0409,,tp,93
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-04T12:36:00+00:00,2026-06-04T13:25:00+00:00,8.067474,7.954263,1000.0,-14.033,,stop,49
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-04T18:31:00+00:00,2026-06-04T20:04:00+00:00,8.111531,8.021946,1000.0,-11.0441,,stop,93
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-05T04:31:00+00:00,2026-06-05T05:37:00+00:00,7.851193,7.756525,1000.0,-12.0578,,stop,66
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-05T16:51:00+00:00,2026-06-05T18:29:00+00:00,7.45568,7.300463,1000.0,-20.8187,,stop,98
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-05T20:11:00+00:00,2026-06-06T04:07:00+00:00,7.353547,7.205882,1000.0,-20.0809,,stop,476
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-06T01:06:00+00:00,2026-06-06T01:16:00+00:00,7.460686,7.392635,1000.0,-9.1213,,stop,10
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-06T06:06:00+00:00,2026-06-06T10:30:00+00:00,7.335524,7.205858,1000.0,-17.6764,,stop,264
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-06T08:31:00+00:00,2026-06-06T09:47:00+00:00,7.452676,7.386347,1000.0,-8.9,,stop,76
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-06T11:51:00+00:00,2026-06-06T12:30:00+00:00,7.347539,7.283487,1000.0,-8.7175,,stop,39
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-06T12:51:00+00:00,2026-06-06T15:12:00+00:00,7.390595,7.321922,1000.0,-9.292,,stop,141
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-06T21:16:00+00:00,2026-06-06T22:04:00+00:00,7.368567,7.320038,1000.0,-6.5859,,stop,48
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-06T23:41:00+00:00,2026-06-07T01:08:00+00:00,7.398606,7.465459,1000.0,9.036,,tp,87
std,0.0025,0.0015,LINKUSDT,F_197,2026-06-07T01:06:00+00:00,2026-06-07T01:24:00+00:00,7.459685,7.547004,1000.0,11.7055,,tp,18
