NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,symbol,net,trades,win_pct,gross,costs,risk_total
std,0.0025,0.0015,LINKUSDT,-1704.15,665,23.61,22.64,1726.78,0.0
std,0.0025,0.0045,LINKUSDT,-1704.15,665,23.61,22.64,1726.78,0.0
std,0.004,0.0015,LINKUSDT,-1704.15,665,23.61,22.64,1726.78,0.0
std,0.004,0.0045,LINKUSDT,-1704.15,665,23.61,22.64,1726.78,0.0
std,0.005,0.0015,LINKUSDT,-1704.15,665,23.61,22.64,1726.78,0.0
std,0.005,0.0045,LINKUSDT,-1704.15,665,23.61,22.64,1726.78,0.0
dual,0.0025,0.0015,LINKUSDT,-1577.79,746,47.18,359.76,1937.55,0.0
dual,0.0025,0.0045,LINKUSDT,-1118.62,778,46.27,902.73,2021.35,0.0
dual,0.004,0.0015,LINKUSDT,-1474.88,717,39.75,387.41,1862.28,0.0
dual,0.004,0.0045,LINKUSDT,-1400.79,732,39.21,500.58,1901.38,0.0
dual,0.005,0.0015,LINKUSDT,-1506.53,705,35.46,324.51,1831.04,0.0
dual,0.005,0.0045,LINKUSDT,-1503.25,710,35.35,340.8,1844.05,0.0
