symbol,trig,lock,trig_x,lock_x,net,trades,win_pct,pf,center
ETHUSDT,0.002,0.0036,0.8,0.8,-134.16193235599152,350,74.29,0.9111893520681636,False
ETHUSDT,0.002,0.0045,0.8,1.0,-4.459817745746715,350,74.29,0.9970477519464568,False
ETHUSDT,0.002,0.0054,0.8,1.2,145.34478264330534,350,74.29,1.096213315456823,False
ETHUSDT,0.0025,0.0036,1.0,0.8,-138.2736253462516,343,73.18,0.9100384266118695,False
ETHUSDT,0.0025,0.0045,1.0,1.0,-23.566320072471775,343,73.18,0.984667623869853,True
ETHUSDT,0.0025,0.0054,1.0,1.2,101.0298208117641,343,73.18,1.0657305514091202,False
ETHUSDT,0.003,0.0036,1.2,0.8,-194.97416850327872,337,71.51,0.8792821176832162,False
ETHUSDT,0.003,0.0045,1.2,1.0,-100.47925506360966,337,71.51,0.9377884620246867,False
ETHUSDT,0.003,0.0054,1.2,1.2,6.833451288436066,337,71.51,1.0042309182533629,False
SOLUSDT,0.002,0.0036,0.8,0.8,1614.376070096858,366,88.25,2.313454065989124,False
SOLUSDT,0.002,0.0045,0.8,1.0,1726.7002814633443,366,88.25,2.404840884005742,False
SOLUSDT,0.002,0.0054,0.8,1.2,1852.23834316812,366,88.25,2.5069784717938477,False
SOLUSDT,0.0025,0.0036,1.0,0.8,1480.5659433926555,364,86.26,2.0629092742625352,False
SOLUSDT,0.0025,0.0045,1.0,1.0,1577.6100447591432,364,86.26,2.1325779545501193,True
SOLUSDT,0.0025,0.0054,1.0,1.2,1689.793193078654,364,86.26,2.2131150689535106,False
SOLUSDT,0.003,0.0036,1.2,0.8,1321.0366450801528,359,84.4,1.84658422118374,False
SOLUSDT,0.003,0.0045,1.2,1.0,1402.6377865844315,359,84.4,1.8988781822069847,False
SOLUSDT,0.003,0.0054,1.2,1.2,1500.0459953959694,359,84.4,1.961302077032867,False
XLMUSDT,0.002,0.0036,0.8,0.8,1183.16064352865,304,77.96,1.944672893098836,False
XLMUSDT,0.002,0.0045,0.8,1.0,1294.2950414467246,304,77.96,2.0334061126986325,False
XLMUSDT,0.002,0.0054,0.8,1.2,1415.0289476756245,304,77.96,2.1298038834630706,False
XLMUSDT,0.0025,0.0036,1.0,0.8,1144.434272520912,296,76.69,1.875055756788757,False
XLMUSDT,0.0025,0.0045,1.0,1.0,1238.2211074442193,296,76.69,1.9467669172994078,True
XLMUSDT,0.0025,0.0054,1.0,1.2,1332.9286124952303,296,76.69,2.019182039334713,False
XLMUSDT,0.003,0.0036,1.2,0.8,1115.8510553008805,295,75.59,1.8284939015134882,False
XLMUSDT,0.003,0.0045,1.2,1.0,1204.8985978304183,295,75.59,1.8946096663192065,False
XLMUSDT,0.003,0.0054,1.2,1.2,1294.8827496627325,295,75.59,1.961420842122445,False
LINKUSDT,0.002,0.0036,0.8,0.8,1420.8781025432836,359,86.91,2.2653809248684906,False
LINKUSDT,0.002,0.0045,0.8,1.0,1541.7203322918656,359,86.91,2.3729984975291747,False
LINKUSDT,0.002,0.0054,0.8,1.2,1693.4879399437782,359,86.91,2.5081570557418083,False
LINKUSDT,0.0025,0.0036,1.0,0.8,1413.3759096034903,354,86.72,2.258699752272682,False
LINKUSDT,0.0025,0.0045,1.0,1.0,1524.5081936115932,354,86.72,2.3576700102203594,True
LINKUSDT,0.0025,0.0054,1.0,1.2,1667.636772159481,354,86.72,2.4851349720449223,False
LINKUSDT,0.003,0.0036,1.2,0.8,1303.6680797377244,353,85.55,2.0566566577026975,False
LINKUSDT,0.003,0.0045,1.2,1.0,1405.0808921644768,353,85.55,2.138854362082048,False
LINKUSDT,0.003,0.0054,1.2,1.2,1541.5673878476723,353,85.55,2.249480192837353,False
RENDERUSDT,0.004,0.0036,0.8,0.8,-7.514132515420993,114,76.32,0.9921520876304677,False
RENDERUSDT,0.004,0.0045,0.8,1.0,11.79867666657185,114,76.32,1.0123227771623242,False
RENDERUSDT,0.004,0.0054,0.8,1.2,36.653906610775614,114,76.32,1.0382820833265924,False
RENDERUSDT,0.005,0.0036,1.0,0.8,161.1815714216871,110,78.18,1.187120807847515,False
RENDERUSDT,0.005,0.0045,1.0,1.0,173.8868222064679,110,78.18,1.2018707371960358,True
RENDERUSDT,0.005,0.0054,1.0,1.2,192.31690070577864,110,78.18,1.2232668009461631,False
RENDERUSDT,0.006,0.0036,1.2,0.8,150.103407523849,105,74.29,1.157114469833789,False
RENDERUSDT,0.006,0.0045,1.2,1.0,151.0259720325921,105,74.29,1.1580801256844437,False
RENDERUSDT,0.006,0.0054,1.2,1.2,156.80865744958612,105,74.29,1.164132910018219,False
FILUSDT,0.002,0.0036,0.8,0.8,1609.0277493021472,333,87.69,2.588740156602584,False
FILUSDT,0.002,0.0045,0.8,1.0,1689.3270962220402,333,87.69,2.668027040906423,False
FILUSDT,0.002,0.0054,0.8,1.2,1819.1800612345467,333,87.69,2.79624274138689,False
FILUSDT,0.0025,0.0036,1.0,0.8,1201.7653658740128,332,83.43,1.8594481426009526,False
FILUSDT,0.0025,0.0045,1.0,1.0,1266.7846027939074,332,83.43,1.9059469550904358,True
FILUSDT,0.0025,0.0054,1.0,1.2,1381.357457806411,332,83.43,1.9878842701680532,False
FILUSDT,0.003,0.0036,1.2,0.8,1258.2223053587372,327,82.87,1.907047209437729,False
FILUSDT,0.003,0.0045,1.2,1.0,1290.8494815342713,327,82.87,1.930568004591181,False
FILUSDT,0.003,0.0054,1.2,1.2,1395.8944832938148,327,82.87,2.006294508012382,False
