symbol,NOVA_Z_P,NOVA_Z_TH,NOVA_WICK_RATIO,net,trades,win_pct,pf
BTCUSDT,20,-1.5,0.5,0.0,0,0.0,0.0
BTCUSDT,20,-1.5,0.6,0.0,0,0.0,0.0
BTCUSDT,20,-2.0,0.5,0.0,0,0.0,0.0
BTCUSDT,20,-2.0,0.6,0.0,0,0.0,0.0
BTCUSDT,20,-2.5,0.5,0.0,0,0.0,0.0
BTCUSDT,20,-2.5,0.6,0.0,0,0.0,0.0
BTCUSDT,30,-1.5,0.5,0.0,0,0.0,0.0
BTCUSDT,30,-1.5,0.6,0.0,0,0.0,0.0
BTCUSDT,30,-2.0,0.5,0.0,0,0.0,0.0
BTCUSDT,30,-2.0,0.6,0.0,0,0.0,0.0
BTCUSDT,30,-2.5,0.5,0.0,0,0.0,0.0
BTCUSDT,30,-2.5,0.6,0.0,0,0.0,0.0
BTCUSDT,50,-1.5,0.5,0.0,0,0.0,0.0
BTCUSDT,50,-1.5,0.6,0.0,0,0.0,0.0
BTCUSDT,50,-2.0,0.5,0.0,0,0.0,0.0
BTCUSDT,50,-2.0,0.6,0.0,0,0.0,0.0
BTCUSDT,50,-2.5,0.5,0.0,0,0.0,0.0
BTCUSDT,50,-2.5,0.6,0.0,0,0.0,0.0
ETHUSDT,20,-1.5,0.5,0.0,0,0.0,0.0
ETHUSDT,20,-1.5,0.6,0.0,0,0.0,0.0
ETHUSDT,20,-2.0,0.5,0.0,0,0.0,0.0
ETHUSDT,20,-2.0,0.6,0.0,0,0.0,0.0
ETHUSDT,20,-2.5,0.5,0.0,0,0.0,0.0
ETHUSDT,20,-2.5,0.6,0.0,0,0.0,0.0
ETHUSDT,30,-1.5,0.5,0.0,0,0.0,0.0
ETHUSDT,30,-1.5,0.6,0.0,0,0.0,0.0
ETHUSDT,30,-2.0,0.5,0.0,0,0.0,0.0
ETHUSDT,30,-2.0,0.6,0.0,0,0.0,0.0
ETHUSDT,30,-2.5,0.5,0.0,0,0.0,0.0
ETHUSDT,30,-2.5,0.6,0.0,0,0.0,0.0
ETHUSDT,50,-1.5,0.5,0.0,0,0.0,0.0
ETHUSDT,50,-1.5,0.6,0.0,0,0.0,0.0
ETHUSDT,50,-2.0,0.5,0.0,0,0.0,0.0
ETHUSDT,50,-2.0,0.6,0.0,0,0.0,0.0
ETHUSDT,50,-2.5,0.5,0.0,0,0.0,0.0
ETHUSDT,50,-2.5,0.6,0.0,0,0.0,0.0
SOLUSDT,20,-1.5,0.5,0.0,0,0.0,0.0
SOLUSDT,20,-1.5,0.6,0.0,0,0.0,0.0
SOLUSDT,20,-2.0,0.5,0.0,0,0.0,0.0
SOLUSDT,20,-2.0,0.6,0.0,0,0.0,0.0
SOLUSDT,20,-2.5,0.5,0.0,0,0.0,0.0
SOLUSDT,20,-2.5,0.6,0.0,0,0.0,0.0
SOLUSDT,30,-1.5,0.5,0.0,0,0.0,0.0
SOLUSDT,30,-1.5,0.6,0.0,0,0.0,0.0
SOLUSDT,30,-2.0,0.5,0.0,0,0.0,0.0
SOLUSDT,30,-2.0,0.6,0.0,0,0.0,0.0
SOLUSDT,30,-2.5,0.5,0.0,0,0.0,0.0
SOLUSDT,30,-2.5,0.6,0.0,0,0.0,0.0
SOLUSDT,50,-1.5,0.5,0.0,0,0.0,0.0
SOLUSDT,50,-1.5,0.6,0.0,0,0.0,0.0
SOLUSDT,50,-2.0,0.5,0.0,0,0.0,0.0
SOLUSDT,50,-2.0,0.6,0.0,0,0.0,0.0
SOLUSDT,50,-2.5,0.5,0.0,0,0.0,0.0
SOLUSDT,50,-2.5,0.6,0.0,0,0.0,0.0
XLMUSDT,20,-1.5,0.5,0.0,0,0.0,0.0
XLMUSDT,20,-1.5,0.6,0.0,0,0.0,0.0
