الفترة,حُذفت,صافي_المحذوف,إجمالي_المحذوف,ظهرت_بسبب_الإسناد,صافي_الظاهر,إجمالي_الظاهر
SEL,269,-46.68,-32.75,247,-34.63,-21.83
JUD,518,-102.61,-75.81,337,15.77,33.32
