symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,bars_held,exit_side,regime
ATOMUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,10.61378,1.4561046,20.0,-17.2562,5837,eod,
BTCUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,42338.548654,77581.0134,20.0,16.6479,5837,eod,
DOGEUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,0.089676428,0.081943335,20.0,-1.7247,5837,eod,
ETHUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,2284.836431,2413.738056,20.0,1.1283,5837,eod,
FILUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,6.9299973,0.659142,20.0,-18.0977,5837,eod,
GRAMUSDT,buyhold,2024-08-08T08:00:00+00:00,2026-08-30T20:00:00+00:00,4.3576576,1.3342632,20.0,-13.8762,4502,eod,
IMXUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,2.13427095,0.12244062,20.0,-18.8526,5837,eod,
LINKUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,14.9614246,11.1295128,20.0,-5.1224,5837,eod,
PEPEUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,1.30169e-06,3.39558e-06,20.0,32.1719,5837,eod,
RENDERUSDT,buyhold,2024-07-26T08:00:00+00:00,2026-08-30T20:00:00+00:00,7.039139,1.3971813,20.0,-16.0302,4593,eod,
SHIBUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,1.0373468e-05,4.953552e-06,20.0,-10.4496,5837,eod,
SOLUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,101.852236,101.617725,20.0,-0.046,5837,eod,
TONUSDT,buyhold,2024-08-08T08:00:00+00:00,2026-06-30T00:00:00+00:00,4.3576576,1.59792,20.0,-12.6662,4144,eod,
VETUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,0.034374629,0.0067102653,20.0,-16.0958,5837,eod,
XLMUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,0.12926783,0.17437302,20.0,6.9786,5837,eod,
