الفترة,شموع_مصنفة,عرضي,نسبة_العرضي,شموع_بلا_دخول,نسبة_بلا_دخول,مناخات_مفعّلة
SEL,56760,16159,0.2847,0,0.0,"['صاعد', 'عرضي', 'هابط']"
JUD,83286,24972,0.2998,0,0.0,"['صاعد', 'عرضي', 'هابط']"
