symbol,NOVA_Z_P,NOVA_Z_TH,NOVA_WICK_RATIO,net,trades,win_pct,pf
SOLUSDT,20,-1.5,0.5,4.40983452354805,67,85.07,1.9507503929413814
SOLUSDT,20,-1.5,0.6,4.538543342676875,58,87.93,2.304397155031552
SOLUSDT,20,-2.0,0.5,0.7738447768484547,7,85.71,3.209929688628959
SOLUSDT,20,-2.0,0.6,0.8558574167870416,4,100.0,inf
SOLUSDT,20,-2.5,0.5,0.0,0,0.0,0.0
SOLUSDT,20,-2.5,0.6,0.0,0,0.0,0.0
SOLUSDT,30,-1.5,0.5,1.3984022019690343,75,78.67,1.1639573874209275
SOLUSDT,30,-1.5,0.6,1.8753779470138408,66,80.3,1.254453808934049
SOLUSDT,30,-2.0,0.5,0.6506700247077979,26,76.92,1.2383898348326787
SOLUSDT,30,-2.0,0.6,1.2113651817158053,21,80.95,1.6595319611364334
SOLUSDT,30,-2.5,0.5,0.46771483336252023,1,100.0,inf
SOLUSDT,30,-2.5,0.6,0.46771483336252023,1,100.0,inf
SOLUSDT,50,-1.5,0.5,5.733154006370114,78,87.18,2.038682498758041
SOLUSDT,50,-1.5,0.6,5.383890583483778,70,87.14,2.0414775737261643
SOLUSDT,50,-2.0,0.5,2.2066675830692835,31,87.1,1.9446414961152452
SOLUSDT,50,-2.0,0.6,1.7130664543925311,27,85.19,1.7333382113545974
SOLUSDT,50,-2.5,0.5,-0.20368396205574035,10,80.0,0.7846222299311844
SOLUSDT,50,-2.5,0.6,-0.2718847215273894,9,77.78,0.7125059604726018
