NOVA_LB,NOVA_WICK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
10,0.5,BNBUSDT,F_008,2026-06-01T05:40:00+00:00,2026-06-01T06:05:00+00:00,696.814683,692.568886,1000.0,-6.0932,,stop,5
10,0.5,BNBUSDT,F_008,2026-06-01T12:15:00+00:00,2026-06-01T13:40:00+00:00,692.579184,685.351353,1000.0,-10.4361,,stop,17
10,0.5,BNBUSDT,F_008,2026-06-01T16:15:00+00:00,2026-06-01T17:45:00+00:00,678.130425,687.535465,1000.0,13.8691,,tp,18
10,0.5,BNBUSDT,F_008,2026-06-01T21:00:00+00:00,2026-06-01T21:05:00+00:00,696.724566,691.90392,1000.0,-6.919,,stop,1
10,0.5,BNBUSDT,F_008,2026-06-02T05:45:00+00:00,2026-06-02T06:05:00+00:00,685.419889,681.328723,1000.0,-5.9688,,stop,4
10,0.5,BNBUSDT,F_008,2026-06-02T15:55:00+00:00,2026-06-02T19:30:00+00:00,660.908065,652.866805,1000.0,-12.167,,stop,43
10,0.5,BNBUSDT,F_008,2026-06-03T02:35:00+00:00,2026-06-03T03:15:00+00:00,646.469319,642.403108,1000.0,-6.2899,,stop,8
10,0.5,BNBUSDT,F_008,2026-06-03T03:15:00+00:00,2026-06-03T03:15:00+00:00,646.649553,642.892705,1000.0,-5.8097,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-03T09:50:00+00:00,2026-06-03T11:45:00+00:00,642.343963,638.290248,1000.0,-6.3108,,stop,23
10,0.5,BNBUSDT,F_008,2026-06-03T12:45:00+00:00,2026-06-03T13:25:00+00:00,635.465032,631.464488,1000.0,-6.2955,,stop,8
10,0.5,BNBUSDT,F_008,2026-06-03T19:35:00+00:00,2026-06-03T19:55:00+00:00,625.291824,621.452884,1000.0,-6.1394,,stop,4
10,0.5,BNBUSDT,F_008,2026-06-03T21:00:00+00:00,2026-06-04T00:25:00+00:00,620.60574,614.969525,1000.0,-9.0818,,stop,41
10,0.5,BNBUSDT,F_008,2026-06-04T00:35:00+00:00,2026-06-04T00:35:00+00:00,618.262698,612.705144,1000.0,-8.989,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-04T17:05:00+00:00,2026-06-04T17:30:00+00:00,604.544888,599.892584,1000.0,-7.6955,,stop,5
10,0.5,BNBUSDT,F_008,2026-06-04T17:45:00+00:00,2026-06-04T18:25:00+00:00,601.150481,607.374153,1000.0,10.3529,,tp,8
10,0.5,BNBUSDT,F_008,2026-06-04T20:00:00+00:00,2026-06-04T20:05:00+00:00,607.138255,603.629658,1000.0,-5.7789,,stop,1
10,0.5,BNBUSDT,F_008,2026-06-04T20:30:00+00:00,2026-06-04T21:25:00+00:00,605.466084,601.799869,1000.0,-6.0552,,stop,11
10,0.5,BNBUSDT,F_008,2026-06-04T21:45:00+00:00,2026-06-05T01:00:00+00:00,601.791313,597.171123,1000.0,-7.6774,,stop,39
10,0.5,BNBUSDT,F_008,2026-06-05T02:25:00+00:00,2026-06-05T02:40:00+00:00,600.409519,595.795405,1000.0,-7.6849,,stop,3
10,0.5,BNBUSDT,F_008,2026-06-05T03:10:00+00:00,2026-06-05T05:40:00+00:00,595.162707,589.638037,1000.0,-9.2826,,stop,30
10,0.5,BNBUSDT,F_008,2026-06-05T15:50:00+00:00,2026-06-05T16:10:00+00:00,579.392232,570.97614,1000.0,-14.5257,,stop,4
10,0.5,BNBUSDT,F_008,2026-06-05T22:10:00+00:00,2026-06-05T23:30:00+00:00,575.266876,570.912295,1000.0,-7.5697,,stop,16
10,0.5,BNBUSDT,F_008,2026-06-06T03:30:00+00:00,2026-06-06T04:05:00+00:00,573.764926,569.145502,1000.0,-8.0511,,stop,7
10,0.5,BNBUSDT,F_008,2026-06-06T15:10:00+00:00,2026-06-06T15:15:00+00:00,574.425784,570.821322,1000.0,-6.2749,,stop,1
10,0.5,BNBUSDT,F_008,2026-06-07T08:15:00+00:00,2026-06-07T08:35:00+00:00,588.984686,592.459201,1000.0,5.8992,,tp,4
10,0.5,BNBUSDT,F_008,2026-06-07T09:40:00+00:00,2026-06-07T10:00:00+00:00,594.992486,590.519526,1000.0,-7.5177,,stop,4
10,0.5,BNBUSDT,F_008,2026-06-07T15:10:00+00:00,2026-06-07T17:20:00+00:00,591.157507,596.150075,1000.0,8.4454,,tp,26
10,0.5,BNBUSDT,F_008,2026-06-07T19:30:00+00:00,2026-06-07T22:10:00+00:00,589.7657,595.741656,1000.0,10.1328,,tp,32
10,0.5,BNBUSDT,F_008,2026-06-08T02:40:00+00:00,2026-06-08T04:05:00+00:00,603.48351,599.531676,1000.0,-6.5484,,stop,17
10,0.5,BNBUSDT,F_008,2026-06-08T07:10:00+00:00,2026-06-08T09:15:00+00:00,595.312902,599.247152,1000.0,6.6087,,tp,25
10,0.5,BNBUSDT,F_008,2026-06-08T20:15:00+00:00,2026-06-08T20:15:00+00:00,607.568814,604.850057,1000.0,-4.4748,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-09T10:15:00+00:00,2026-06-09T11:20:00+00:00,599.087803,596.148943,1000.0,-4.9056,,stop,13
10,0.5,BNBUSDT,F_008,2026-06-09T14:25:00+00:00,2026-06-09T14:30:00+00:00,590.66687,586.199533,1000.0,-7.5632,,stop,1
10,0.5,BNBUSDT,F_008,2026-06-09T21:25:00+00:00,2026-06-09T21:50:00+00:00,596.254124,593.672773,1000.0,-4.3293,,stop,5
10,0.5,BNBUSDT,F_008,2026-06-10T02:50:00+00:00,2026-06-10T04:35:00+00:00,588.203672,584.992192,1000.0,-5.4598,,stop,21
10,0.5,BNBUSDT,F_008,2026-06-10T08:50:00+00:00,2026-06-10T09:10:00+00:00,585.219798,582.542935,1000.0,-4.5741,,stop,4
10,0.5,BNBUSDT,F_008,2026-06-10T17:25:00+00:00,2026-06-10T17:25:00+00:00,592.729548,588.924378,1000.0,-6.4197,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-10T17:35:00+00:00,2026-06-10T18:50:00+00:00,590.686896,586.617586,1000.0,-6.8891,,stop,15
10,0.5,BNBUSDT,F_008,2026-06-10T18:55:00+00:00,2026-06-10T20:05:00+00:00,589.855817,586.117159,1000.0,-6.3383,,stop,14
10,0.5,BNBUSDT,F_008,2026-06-10T21:00:00+00:00,2026-06-10T21:10:00+00:00,587.993399,585.024734,1000.0,-5.0488,,stop,2
10,0.5,BNBUSDT,F_008,2026-06-10T22:00:00+00:00,2026-06-11T00:15:00+00:00,584.108355,588.385316,1000.0,7.3222,,tp,27
10,0.5,BNBUSDT,F_008,2026-06-12T00:30:00+00:00,2026-06-12T01:00:00+00:00,605.315889,602.722758,1000.0,-4.2839,,stop,6
10,0.5,BNBUSDT,F_008,2026-06-12T02:00:00+00:00,2026-06-12T02:10:00+00:00,602.58234,604.452672,1000.0,3.1039,,tp,2
10,0.5,BNBUSDT,F_008,2026-06-12T03:10:00+00:00,2026-06-12T03:20:00+00:00,604.905356,602.311332,1000.0,-4.2883,,stop,2
10,0.5,BNBUSDT,F_008,2026-06-12T03:25:00+00:00,2026-06-12T03:45:00+00:00,603.974147,601.715185,1000.0,-3.7402,,stop,4
10,0.5,BNBUSDT,F_008,2026-06-12T10:45:00+00:00,2026-06-12T13:40:00+00:00,605.806526,603.518074,1000.0,-3.7775,,stop,35
10,0.5,BNBUSDT,F_008,2026-06-12T22:15:00+00:00,2026-06-12T22:30:00+00:00,603.88403,601.937635,1000.0,-3.2231,,stop,3
10,0.5,BNBUSDT,F_008,2026-06-13T03:30:00+00:00,2026-06-13T03:30:00+00:00,604.234485,602.029399,1000.0,-3.6494,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-13T09:50:00+00:00,2026-06-13T09:50:00+00:00,604.424732,602.668814,1000.0,-2.9051,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-13T14:35:00+00:00,2026-06-13T14:40:00+00:00,609.411206,607.304968,1000.0,-3.4562,,stop,1
10,0.5,BNBUSDT,F_008,2026-06-13T15:50:00+00:00,2026-06-13T16:00:00+00:00,610.59274,608.198196,1000.0,-3.9217,,stop,2
10,0.5,BNBUSDT,F_008,2026-06-14T09:05:00+00:00,2026-06-14T09:05:00+00:00,611.574014,609.85731,1000.0,-2.807,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-14T12:35:00+00:00,2026-06-14T12:35:00+00:00,612.505223,610.969928,1000.0,-2.5066,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-15T02:05:00+00:00,2026-06-15T06:15:00+00:00,614.447745,618.091751,1000.0,5.9305,,tp,50
10,0.5,BNBUSDT,F_008,2026-06-15T17:25:00+00:00,2026-06-15T17:30:00+00:00,626.743709,623.402231,1000.0,-5.3315,,stop,1
10,0.5,BNBUSDT,F_008,2026-06-15T21:10:00+00:00,2026-06-15T21:30:00+00:00,619.814713,617.328284,1000.0,-4.0116,,stop,4
10,0.5,BNBUSDT,F_008,2026-06-15T21:35:00+00:00,2026-06-15T22:20:00+00:00,619.984934,617.405548,1000.0,-4.1604,,stop,9
10,0.5,BNBUSDT,F_008,2026-06-15T22:35:00+00:00,2026-06-15T22:45:00+00:00,618.382854,615.558729,1000.0,-4.567,,stop,2
10,0.5,BNBUSDT,F_008,2026-06-16T09:30:00+00:00,2026-06-16T09:45:00+00:00,616.840852,614.259846,1000.0,-4.1842,,stop,3
10,0.5,BNBUSDT,F_008,2026-06-16T10:15:00+00:00,2026-06-16T10:45:00+00:00,615.529149,613.149588,1000.0,-3.8659,,stop,6
10,0.5,BNBUSDT,F_008,2026-06-16T14:25:00+00:00,2026-06-17T18:05:00+00:00,605.716409,599.633014,1000.0,-10.0433,,stop,332
10,0.5,BNBUSDT,F_008,2026-06-16T22:30:00+00:00,2026-06-16T22:40:00+00:00,607.28845,605.189251,1000.0,-3.4567,,stop,2
10,0.5,BNBUSDT,F_008,2026-06-17T01:25:00+00:00,2026-06-17T02:20:00+00:00,604.755161,607.470136,1000.0,4.4894,,tp,11
10,0.5,BNBUSDT,F_008,2026-06-17T08:35:00+00:00,2026-06-17T08:35:00+00:00,603.673757,601.039959,1000.0,-4.3629,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-17T18:10:00+00:00,2026-06-17T19:20:00+00:00,605.436045,601.540168,1000.0,-6.4348,,stop,14
10,0.5,BNBUSDT,F_008,2026-06-18T09:35:00+00:00,2026-06-18T09:55:00+00:00,592.158807,589.946592,1000.0,-3.7358,,stop,4
10,0.5,BNBUSDT,F_008,2026-06-18T15:10:00+00:00,2026-06-18T15:15:00+00:00,589.144894,585.023374,1000.0,-6.9958,,stop,1
10,0.5,BNBUSDT,F_008,2026-06-19T02:35:00+00:00,2026-06-19T03:10:00+00:00,581.95556,579.799411,1000.0,-3.705,,stop,7
10,0.5,BNBUSDT,F_008,2026-06-19T18:35:00+00:00,2026-06-19T18:35:00+00:00,580.133194,578.020789,1000.0,-3.6412,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-19T19:30:00+00:00,2026-06-19T19:50:00+00:00,579.262063,580.93729,1000.0,2.892,,tp,4
10,0.5,BNBUSDT,F_008,2026-06-20T01:15:00+00:00,2026-06-20T02:50:00+00:00,581.494962,579.534872,1000.0,-3.3708,,stop,19
10,0.5,BNBUSDT,F_008,2026-06-21T00:50:00+00:00,2026-06-21T00:50:00+00:00,588.604192,586.972991,1000.0,-2.7713,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-21T11:10:00+00:00,2026-06-21T11:15:00+00:00,590.927208,588.971976,1000.0,-3.3088,,stop,1
10,0.5,BNBUSDT,F_008,2026-06-21T16:10:00+00:00,2026-06-21T16:10:00+00:00,590.376493,588.501873,1000.0,-3.1753,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-21T18:10:00+00:00,2026-06-21T20:45:00+00:00,590.356467,588.282133,1000.0,-3.5137,,stop,31
10,0.5,BNBUSDT,F_008,2026-06-22T04:05:00+00:00,2026-06-22T11:30:00+00:00,591.207572,595.17284,1000.0,6.7071,,tp,89
10,0.5,BNBUSDT,F_008,2026-06-22T16:00:00+00:00,2026-06-22T16:15:00+00:00,597.025125,593.940569,1000.0,-5.1665,,stop,3
10,0.5,BNBUSDT,F_008,2026-06-22T20:30:00+00:00,2026-06-22T21:35:00+00:00,591.618105,589.252508,1000.0,-3.9985,,stop,13
10,0.5,BNBUSDT,F_008,2026-06-23T08:10:00+00:00,2026-06-23T08:10:00+00:00,581.585079,578.998544,1000.0,-4.4474,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-23T15:05:00+00:00,2026-06-24T00:15:00+00:00,574.666096,579.429001,1000.0,8.2881,,tp,110
10,0.5,BNBUSDT,F_008,2026-06-24T23:05:00+00:00,2026-06-25T04:50:00+00:00,564.282615,567.047351,1000.0,4.8996,,tp,69
10,0.5,BNBUSDT,F_008,2026-06-26T00:45:00+00:00,2026-06-26T00:50:00+00:00,563.161159,559.997928,1000.0,-5.6169,,stop,1
10,0.5,BNBUSDT,F_008,2026-06-26T04:45:00+00:00,2026-06-26T07:10:00+00:00,561.649196,566.132266,1000.0,7.982,,tp,29
10,0.5,BNBUSDT,F_008,2026-06-26T19:00:00+00:00,2026-06-27T05:25:00+00:00,566.03489,563.545613,1000.0,-4.3977,,stop,125
10,0.5,BNBUSDT,F_008,2026-06-27T08:15:00+00:00,2026-06-27T08:15:00+00:00,565.984825,564.464352,1000.0,-2.6864,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-27T08:40:00+00:00,2026-06-27T08:40:00+00:00,565.494188,563.922991,1000.0,-2.7784,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-27T09:20:00+00:00,2026-06-27T09:20:00+00:00,565.263889,563.46329,1000.0,-3.1854,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-27T12:15:00+00:00,2026-06-27T15:05:00+00:00,563.561679,564.866397,1000.0,2.3151,,tp,34
10,0.5,BNBUSDT,F_008,2026-06-27T18:30:00+00:00,2026-06-27T18:40:00+00:00,563.381445,561.57188,1000.0,-3.212,,stop,2
10,0.5,BNBUSDT,F_008,2026-06-27T19:40:00+00:00,2026-06-27T21:10:00+00:00,559.506414,561.669579,1000.0,3.8662,,tp,18
10,0.5,BNBUSDT,F_008,2026-06-28T21:00:00+00:00,2026-06-28T22:20:00+00:00,550.81513,547.428261,1000.0,-6.1488,,stop,16
10,0.5,BNBUSDT,F_008,2026-06-29T04:45:00+00:00,2026-06-29T05:00:00+00:00,552.587431,550.104222,1000.0,-4.4938,,stop,3
10,0.5,BNBUSDT,F_008,2026-06-29T08:35:00+00:00,2026-06-29T11:15:00+00:00,553.388471,550.874259,1000.0,-4.5433,,stop,32
10,0.5,BNBUSDT,F_008,2026-06-29T14:00:00+00:00,2026-06-29T14:05:00+00:00,551.425923,547.215046,1000.0,-7.6363,,stop,1
10,0.5,BNBUSDT,F_008,2026-06-29T14:20:00+00:00,2026-06-29T16:45:00+00:00,548.592244,555.974251,1000.0,13.4563,,tp,29
10,0.5,BNBUSDT,F_008,2026-06-29T22:55:00+00:00,2026-06-29T22:55:00+00:00,561.759339,559.760703,1000.0,-3.5578,,stop,0
10,0.5,BNBUSDT,F_008,2026-06-30T05:15:00+00:00,2026-06-30T05:25:00+00:00,553.778978,551.48968,1000.0,-4.134,,stop,2
10,0.5,BNBUSDT,F_008,2026-06-30T05:30:00+00:00,2026-06-30T07:10:00+00:00,553.288341,551.289303,1000.0,-3.613,,stop,20
10,0.5,BNBUSDT,F_008,2026-06-30T12:30:00+00:00,2026-06-30T12:45:00+00:00,546.91006,544.524114,1000.0,-4.3626,,stop,3
10,0.5,BNBUSDT,F_008,2026-06-30T15:00:00+00:00,2026-07-01T01:10:00+00:00,546.279241,542.03796,1000.0,-7.7639,,stop,122
10,0.5,BNBUSDT,F_008,2026-07-01T10:20:00+00:00,2026-07-01T10:30:00+00:00,544.757265,542.679435,1000.0,-3.8142,,stop,2
10,0.5,BNBUSDT,F_008,2026-07-02T06:55:00+00:00,2026-07-02T09:30:00+00:00,550.104207,552.376611,1000.0,4.1309,,tp,31
10,0.5,BNBUSDT,F_008,2026-07-02T20:05:00+00:00,2026-07-02T20:35:00+00:00,559.075855,556.863847,1000.0,-3.9565,,stop,6
10,0.5,BNBUSDT,F_008,2026-07-02T22:25:00+00:00,2026-07-03T01:10:00+00:00,557.603944,559.104733,1000.0,2.6915,,tp,33
10,0.5,BNBUSDT,F_008,2026-07-03T02:35:00+00:00,2026-07-03T09:45:00+00:00,560.958299,563.490522,1000.0,4.5141,,tp,86
10,0.5,BNBUSDT,F_008,2026-07-03T19:10:00+00:00,2026-07-03T19:35:00+00:00,569.058816,570.230837,1000.0,2.0596,,tp,5
10,0.5,BNBUSDT,F_008,2026-07-04T01:30:00+00:00,2026-07-04T01:45:00+00:00,572.803678,570.522462,1000.0,-3.9825,,stop,3
10,0.5,BNBUSDT,F_008,2026-07-04T06:30:00+00:00,2026-07-04T08:40:00+00:00,569.959986,572.021105,1000.0,3.6163,,tp,26
10,0.5,BNBUSDT,F_008,2026-07-04T20:30:00+00:00,2026-07-04T21:00:00+00:00,574.275589,572.292069,1000.0,-3.454,,stop,6
10,0.5,BNBUSDT,F_008,2026-07-04T23:20:00+00:00,2026-07-05T00:20:00+00:00,575.537227,572.84299,1000.0,-4.6813,,stop,12
10,0.5,BNBUSDT,F_008,2026-07-05T02:20:00+00:00,2026-07-05T02:40:00+00:00,571.131507,568.61991,1000.0,-4.3976,,stop,4
10,0.5,BNBUSDT,F_008,2026-07-05T05:45:00+00:00,2026-07-05T06:00:00+00:00,571.732287,569.930413,1000.0,-3.1516,,stop,3
10,0.5,BNBUSDT,F_008,2026-07-05T16:20:00+00:00,2026-07-05T18:15:00+00:00,586.751787,583.644918,1000.0,-5.295,,stop,23
