symbol,NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,net,trades,win_pct,pf
GRAMUSDT,dual,0.005,0.0015,-2639.1462408880134,1119,36.64,0.4277952024446011
GRAMUSDT,dual,0.005,0.0045,-2533.412646626937,1119,36.64,0.4507197637900946
RENDERUSDT,std,0.0025,0.0015,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,std,0.0025,0.0045,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,std,0.004,0.0015,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,std,0.004,0.0045,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,std,0.005,0.0015,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,std,0.005,0.0045,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,dual,0.0025,0.0015,-2034.9570687009843,1302,62.9,0.581013914136428
RENDERUSDT,dual,0.0025,0.0045,-1026.778183171819,1310,62.82,0.7903352220042831
RENDERUSDT,dual,0.004,0.0015,-2102.9271014085843,1261,55.67,0.6278679668878269
RENDERUSDT,dual,0.004,0.0045,-1763.0785737364356,1264,55.7,0.6886093182973508
RENDERUSDT,dual,0.005,0.0015,-2009.2975232992696,1243,52.13,0.6680833638844105
RENDERUSDT,dual,0.005,0.0045,-1887.309891102017,1245,52.21,0.6882345480953636
FILUSDT,std,0.0025,0.0015,-9821.211488406965,3714,24.96,0.577912284818752
FILUSDT,std,0.0025,0.0045,-9821.211488406965,3714,24.96,0.577912284818752
FILUSDT,std,0.004,0.0015,-9821.211488406965,3714,24.96,0.577912284818752
FILUSDT,std,0.004,0.0045,-9821.211488406965,3714,24.96,0.577912284818752
FILUSDT,std,0.005,0.0015,-9821.211488406965,3714,24.96,0.577912284818752
FILUSDT,std,0.005,0.0045,-9821.211488406965,3714,24.96,0.577912284818752
FILUSDT,dual,0.0025,0.0015,-7336.678417332022,3915,55.1,0.43452361437143044
FILUSDT,dual,0.0025,0.0045,-4393.681326343774,3924,55.02,0.6625950795860384
FILUSDT,dual,0.004,0.0015,-8020.702514951701,3842,46.8,0.4808159711171896
FILUSDT,dual,0.004,0.0045,-7098.3822158671255,3847,46.79,0.5406790415667387
FILUSDT,dual,0.005,0.0015,-7896.260692545678,3804,43.22,0.5219806036446699
FILUSDT,dual,0.005,0.0045,-7670.221293474344,3807,43.24,0.5354708029957798
