symbol,dropped,net,trades,win_pct,pf,delta_vs_all14
IMXUSDT,MSS,7938.916636614606,717,91.35,3.285817555221699,62.70497418639752
IMXUSDT,FVG,7218.765769280118,652,90.95,3.2354742580175886,-657.4458931480913
IMXUSDT,SFP,7870.977919112551,716,91.2,3.2280788144359165,-5.233743315658103
IMXUSDT,MicroBurst,7707.062281092005,682,91.94,3.490001265724326,-169.149381336204
IMXUSDT,RSI,7723.99407217042,713,91.16,3.1864713294700606,-152.2175902577892
IMXUSDT,MACD,7916.298964995367,692,91.62,3.403381711911599,40.087302567158076
IMXUSDT,Bollinger,7692.537495379922,679,91.31,3.2417524150180843,-183.67416704828702
IMXUSDT,EMA,7981.113815121726,705,91.35,3.3481260867920954,104.90215269351665
IMXUSDT,ADX,7680.331122291243,701,91.01,3.16169069021206,-195.88054013696546
IMXUSDT,Stochastic,7469.05830995451,677,90.99,3.228731802075739,-407.15335247369876
IMXUSDT,OBV,7383.432625015878,660,91.67,3.3467625241563965,-492.7790374123306
IMXUSDT,SuperTrend,7876.211662428209,717,91.21,3.229560357481984,0.0
IMXUSDT,RSI7,7921.711877334246,715,91.33,3.2845770977009634,45.5002149060374
IMXUSDT,KAMA,7772.068407967986,708,91.1,3.2122543796133955,-104.14325446022303
