symbol,exit,trigger,slip_per_side,cost_per_side,net,trades,win_pct,pf,delta_vs_base
IMXUSDT,dual,ALL14,0.0003,0.0013,7876.211662428209,717,91.21,3.229560357481984,0.0
IMXUSDT,dual,ALL14,0.001,0.002,6714.746489193405,714,90.34,2.7029183130169807,-1161.4651732348038
IMXUSDT,dual,ALL14,0.003,0.004,3095.711423066308,698,86.82,1.549048062036203,-4780.500239361902
