NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,symbol,net,trades,win_pct,gross,costs,risk_total
5,100,3,BNBUSDT,-782.2,311,15.43,25.38,807.58,0.0
5,100,5,BNBUSDT,-782.2,311,15.43,25.38,807.58,0.0
5,100,10,BNBUSDT,-782.2,311,15.43,25.38,807.58,0.0
5,200,3,BNBUSDT,-1108.71,418,13.88,-23.36,1085.36,0.0
5,200,5,BNBUSDT,-1108.71,418,13.88,-23.36,1085.36,0.0
5,200,10,BNBUSDT,-1108.71,418,13.88,-23.36,1085.36,0.0
10,100,3,BNBUSDT,-1974.99,748,13.1,-32.75,1942.23,0.0
10,100,5,BNBUSDT,-1974.99,748,13.1,-32.75,1942.23,0.0
10,100,10,BNBUSDT,-1966.69,745,13.15,-32.24,1934.44,0.0
10,200,3,BNBUSDT,-2416.63,902,12.75,-74.58,2342.06,0.0
10,200,5,BNBUSDT,-2420.33,903,12.74,-75.68,2344.65,0.0
10,200,10,BNBUSDT,-2414.93,901,12.76,-75.47,2339.46,0.0
15,100,3,BNBUSDT,-3047.4,1158,12.52,-40.56,3006.84,0.0
15,100,5,BNBUSDT,-3050.09,1162,12.65,-32.85,3017.23,0.0
15,100,10,BNBUSDT,-2989.55,1143,12.86,-21.63,2967.91,0.0
15,200,3,BNBUSDT,-3557.18,1340,12.39,-77.8,3479.38,0.0
15,200,5,BNBUSDT,-3560.17,1346,12.56,-65.2,3494.97,0.0
15,200,10,BNBUSDT,-3512.06,1331,12.7,-56.03,3456.03,0.0
