العمود,المناخ,صفقات,صافي$,ربح الصفقة$,عامل الربح,فوز%,متوسط الخاسرة$,أسوأ صفقة$
التنقيط التعويضي,صاعد,355,87.25,0.2458,6.7638,94.65,-0.7967,-1.77
التنقيط التعويضي,عرضي,372,96.42,0.2592,5.137,92.74,-0.8632,-1.42
التنقيط التعويضي,هابط,525,128.73,0.2452,6.122,94.67,-0.8976,-1.86
انحراف الدخول,صاعد,287,68.9,0.2401,5.0579,94.77,-1.132,-1.77
انحراف الدخول,عرضي,395,98.38,0.2491,4.7347,93.16,-0.9757,-2.11
انحراف الدخول,هابط,619,140.11,0.2264,5.0052,94.83,-1.0932,-3.11
كاسرة النطاق,صاعد,3781,957.43,0.2532,4.5831,94.82,-1.3633,-4.34
كاسرة النطاق,عرضي,7141,1451.34,0.2032,3.9413,94.1,-1.172,-3.33
كاسرة النطاق,هابط,13576,2588.62,0.1907,3.8906,94.08,-1.1138,-5.84
