NOVA_ZP,NOVA_ZTH,NOVA_WICK,symbol,net,trades,win_pct,gross,costs,risk_total
20,-1.5,0.5,BTCUSDT,-516.62,204,15.2,13.11,529.73,0.0
20,-1.5,0.6,BTCUSDT,-448.38,171,14.62,-4.36,444.02,0.0
20,-2.0,0.5,BTCUSDT,-80.88,38,21.05,17.81,98.69,0.0
20,-2.0,0.6,BTCUSDT,-76.75,29,13.79,-1.45,75.3,0.0
20,-2.5,0.5,BTCUSDT,-16.5,4,0.0,-6.12,10.38,0.0
20,-2.5,0.6,BTCUSDT,-12.86,3,0.0,-5.07,7.78,0.0
30,-1.5,0.5,BTCUSDT,-692.29,261,14.18,-14.59,677.7,0.0
30,-1.5,0.6,BTCUSDT,-620.75,228,14.04,-28.76,591.99,0.0
30,-2.0,0.5,BTCUSDT,-174.54,72,18.06,12.43,186.97,0.0
30,-2.0,0.6,BTCUSDT,-145.26,52,15.38,-10.25,135.01,0.0
30,-2.5,0.5,BTCUSDT,-34.05,12,16.67,-2.89,31.16,0.0
30,-2.5,0.6,BTCUSDT,-3.68,7,28.57,14.52,18.2,0.0
50,-1.5,0.5,BTCUSDT,-747.93,312,16.35,62.29,810.23,0.0
50,-1.5,0.6,BTCUSDT,-707.31,273,15.38,1.57,708.88,0.0
50,-2.0,0.5,BTCUSDT,-337.95,114,13.16,-41.99,295.96,0.0
50,-2.0,0.6,BTCUSDT,-312.39,98,12.24,-58.0,254.39,0.0
50,-2.5,0.5,BTCUSDT,-114.1,38,10.53,-15.45,98.65,0.0
50,-2.5,0.6,BTCUSDT,-63.51,28,14.29,9.2,72.72,0.0
