symbol,trigger,stop_atr,tp_atr,net,trades,pf,ratio_vs_base,is_base
BTCUSDT,ALL14,1.6,3.2,-1100.0834068539225,651,0.8846619451137396,1.1500167760290736,False
BTCUSDT,ALL14,1.6,4.0,-727.3392925883091,647,0.9275060418352441,0.7603536087629988,False
BTCUSDT,ALL14,1.6,4.8,-1256.1198174600245,647,0.8823483908099216,1.3131357620535633,False
BTCUSDT,ALL14,2.0,3.2,-1487.7551166708213,636,0.8618470059562651,1.5552851103241194,False
BTCUSDT,ALL14,2.0,4.0,-956.580312378079,631,0.9156347267390454,1.0,True
BTCUSDT,ALL14,2.0,4.8,-1584.365351688172,631,0.869987011113515,1.656280535138138,False
BTCUSDT,ALL14,2.4,3.2,-1570.931715741881,622,0.8652911469592819,1.6422371393328294,False
BTCUSDT,ALL14,2.4,4.0,-1142.835624091811,617,0.9079715134844796,1.1947095390774847,False
BTCUSDT,ALL14,2.4,4.8,-1251.7238394791,616,0.9054681768380305,1.3085402483010422,False
