symbol,NOVA_EXIT,NOVA_TRIGGER,blind_net,trades,win_pct,pf
BTCUSDT,std,MSS,-189.49253259972514,5,0.0,0.0
BTCUSDT,std,FVG,-5.3027967169042896,176,32.39,0.9987329237312746
BTCUSDT,std,SFP,-274.18464803239095,56,39.29,0.8189312544157036
BTCUSDT,std,MicroBurst,36.595243541935574,152,35.53,1.010690392139206
BTCUSDT,std,RSI,-689.6310583561076,77,27.27,0.7358368635614982
BTCUSDT,std,MACD,-110.11516518972252,137,31.39,0.9668133258376099
BTCUSDT,std,Bollinger,226.59633976559815,219,34.7,1.0476297922854991
BTCUSDT,std,EMA,-57.40528592072096,51,33.33,0.9477907904932636
BTCUSDT,std,ADX,-265.75233240386495,69,30.43,0.8374768863329197
BTCUSDT,std,Stochastic,-742.4152068550777,116,28.45,0.7782191525055681
BTCUSDT,std,OBV,200.81053533953028,200,34.5,1.0454374318690656
BTCUSDT,std,SuperTrend,0.0,0,0.0,0.0
BTCUSDT,std,RSI7,-743.6024848205138,80,28.75,0.7013767466638761
BTCUSDT,std,KAMA,259.83641302999473,64,37.5,1.2041735447062387
BTCUSDT,std,ELITE8,-472.01794553369695,459,33.77,0.9569320345744867
BTCUSDT,std,ALL14,-1035.786288905498,720,32.36,0.9394252925273213
BTCUSDT,dual,MSS,-26.24404153359571,5,80.0,0.40501840186649485
BTCUSDT,dual,FVG,1065.952922696432,261,86.59,2.0606971178461686
BTCUSDT,dual,SFP,331.28761455820495,66,89.39,2.2907455313040006
BTCUSDT,dual,MicroBurst,1390.1874788685795,212,88.21,2.9086468208506777
BTCUSDT,dual,RSI,663.9162871465918,109,91.74,2.8887191935873258
BTCUSDT,dual,MACD,792.0512662947391,165,88.48,2.2846948597931727
BTCUSDT,dual,Bollinger,1508.8502284581639,317,89.91,2.689076867737853
BTCUSDT,dual,EMA,418.6026085075461,64,89.06,3.4927970097703613
BTCUSDT,dual,ADX,292.1044436345622,78,87.18,2.072625039301325
BTCUSDT,dual,Stochastic,448.1245958185431,154,87.01,1.5710257132358811
BTCUSDT,dual,OBV,1204.865005668399,266,86.09,2.0647960714907465
BTCUSDT,dual,SuperTrend,0.0,0,0.0,0.0
BTCUSDT,dual,RSI7,405.17554810785424,103,90.29,2.0475902389002947
BTCUSDT,dual,KAMA,459.3217800176268,81,91.36,3.442705719917646
BTCUSDT,dual,ELITE8,2653.1742559619543,605,86.78,2.0828781016845017
BTCUSDT,dual,ALL14,3628.0732822530613,893,86.56,2.01244992623371
