symbol,NOVA_LOOKBACK,NOVA_WICK_RATIO,net,trades,win_pct,pf
FILUSDT,10,0.5,-44.829963281759824,1746,57.67,0.622565290470139
FILUSDT,10,0.6,-28.38809430748878,1117,58.19,0.6277311607045313
FILUSDT,10,0.7,-16.052791784812438,598,57.02,0.6055138785166779
FILUSDT,20,0.5,-29.516636191977035,1195,58.41,0.6371101020966218
FILUSDT,20,0.6,-19.777433218192048,773,58.47,0.6296069606025356
FILUSDT,20,0.7,-11.658615227391616,422,56.87,0.6021058084844269
FILUSDT,55,0.5,-11.789066195913954,672,63.1,0.7258117062161228
FILUSDT,55,0.6,-7.960972470850242,440,62.95,0.7208385084670236
FILUSDT,55,0.7,-4.107611741907631,259,63.32,0.7488727893927882
