symbol,NOVA_EXIT,NOVA_TRIGGER,blind_net,trades,win_pct,pf
ATOMUSDT,std,MSS,-170.54040319482235,6,16.67,0.48347631250110074
ATOMUSDT,std,FVG,-2022.366252148758,197,28.43,0.7869182023259962
ATOMUSDT,std,SFP,-1393.564346239415,60,25.0,0.5440637253547755
ATOMUSDT,std,MicroBurst,-1085.8630686529636,158,30.38,0.8540593675773099
ATOMUSDT,std,RSI,121.51397973866624,66,34.85,1.037378493905327
ATOMUSDT,std,MACD,-1559.1975794653135,130,29.23,0.7590786208953691
ATOMUSDT,std,Bollinger,-1849.4006074783128,186,27.96,0.7723922412525254
ATOMUSDT,std,EMA,-813.1136460336069,52,28.85,0.7263397962852406
ATOMUSDT,std,ADX,709.2564744816505,64,35.94,1.265632587699888
ATOMUSDT,std,Stochastic,-3906.0073558071235,135,23.7,0.49431062201156334
ATOMUSDT,std,OBV,-2015.2480554763108,188,28.72,0.7693788420342782
ATOMUSDT,std,SuperTrend,0.0,0,0.0,0.0
ATOMUSDT,std,RSI7,475.4754566967636,72,34.72,1.1334654209958854
ATOMUSDT,std,KAMA,-108.8548594657058,71,29.58,0.9596128964369237
ATOMUSDT,std,ELITE8,-6618.12978683966,473,27.27,0.7112753013678477
ATOMUSDT,std,ALL14,-6071.230354570112,731,29.27,0.8209867872192944
ATOMUSDT,dual,MSS,85.18902425961625,6,100.0,inf
ATOMUSDT,dual,FVG,3967.5331308183254,302,94.04,5.248490110976296
ATOMUSDT,dual,SFP,711.1802607898395,79,94.94,4.527542985737838
ATOMUSDT,dual,MicroBurst,3258.8223674035767,237,93.25,4.743912838248446
ATOMUSDT,dual,RSI,1215.6536759877483,90,91.11,3.424717914414106
ATOMUSDT,dual,MACD,1764.7994913048706,168,93.45,4.3122403606040445
ATOMUSDT,dual,Bollinger,1958.9290257154812,278,89.21,2.4065696293481422
ATOMUSDT,dual,EMA,1196.4026816993667,76,98.68,23.70381301677159
ATOMUSDT,dual,ADX,1117.242661694152,77,94.81,9.166668642056514
ATOMUSDT,dual,Stochastic,2315.616652811431,180,93.33,5.247767692744036
ATOMUSDT,dual,OBV,2500.28818723468,271,92.62,3.3443238758757188
ATOMUSDT,dual,SuperTrend,0.0,0,0.0,0.0
ATOMUSDT,dual,RSI7,1275.4580269993905,90,91.11,3.846531630389133
ATOMUSDT,dual,KAMA,878.4492899874957,98,92.86,3.7891894480614314
ATOMUSDT,dual,ELITE8,7537.868462587313,654,93.43,4.577992342854903
ATOMUSDT,dual,ALL14,9625.343818494192,915,91.8,3.57918334778107
