NOVA_DISP_MIN,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
1.0,LINKUSDT,F_127,2026-06-01T03:05:00+00:00,2026-06-01T04:05:00+00:00,9.210959,9.145055,1000.0,-7.155,,stop,12
1.0,LINKUSDT,F_127,2026-06-01T09:50:00+00:00,2026-06-01T09:50:00+00:00,9.055757,9.009744,1000.0,-5.0811,,stop,0
1.0,LINKUSDT,F_127,2026-06-01T17:00:00+00:00,2026-06-01T22:00:00+00:00,9.017708,8.958047,1000.0,-6.6159,,stop,60
1.0,LINKUSDT,F_127,2026-06-01T17:45:00+00:00,2026-06-01T18:00:00+00:00,9.11183,9.038493,1000.0,-8.0485,,stop,3
1.0,LINKUSDT,F_127,2026-06-02T03:55:00+00:00,2026-06-02T04:05:00+00:00,9.040738,8.978194,1000.0,-6.918,,stop,2
1.0,LINKUSDT,F_127,2026-06-02T13:05:00+00:00,2026-06-02T14:05:00+00:00,8.866512,8.808474,1000.0,-6.5457,,stop,12
1.0,LINKUSDT,F_127,2026-06-03T00:35:00+00:00,2026-06-03T01:35:00+00:00,8.440959,8.351944,1000.0,-10.5455,,stop,12
1.0,LINKUSDT,F_127,2026-06-03T05:05:00+00:00,2026-06-03T15:45:00+00:00,8.461986,8.372516,1000.0,-10.5732,,stop,128
1.0,LINKUSDT,F_127,2026-06-03T06:35:00+00:00,2026-06-03T06:50:00+00:00,8.566122,8.510044,1000.0,-6.5464,,stop,3
1.0,LINKUSDT,F_127,2026-06-03T10:10:00+00:00,2026-06-03T11:50:00+00:00,8.576134,8.514052,1000.0,-7.239,,stop,20
1.0,LINKUSDT,F_127,2026-06-03T11:05:00+00:00,2026-06-03T11:35:00+00:00,8.614184,8.552908,1000.0,-7.1134,,stop,6
1.0,LINKUSDT,F_127,2026-06-03T21:35:00+00:00,2026-06-04T00:25:00+00:00,8.369867,8.265536,1000.0,-12.465,,stop,34
1.0,LINKUSDT,F_127,2026-06-04T03:05:00+00:00,2026-06-04T08:10:00+00:00,8.190634,8.011634,1000.0,-21.8542,,stop,61
1.0,LINKUSDT,F_127,2026-06-04T12:05:00+00:00,2026-06-04T22:05:00+00:00,7.98737,7.891384,1000.0,-12.0173,,stop,120
1.0,LINKUSDT,F_127,2026-06-04T12:35:00+00:00,2026-06-04T13:20:00+00:00,8.0875,7.976688,1000.0,-13.7016,,stop,9
1.0,LINKUSDT,F_127,2026-06-04T18:30:00+00:00,2026-06-04T20:00:00+00:00,8.104522,8.019655,1000.0,-10.4716,,stop,18
1.0,LINKUSDT,F_127,2026-06-05T04:30:00+00:00,2026-06-05T04:45:00+00:00,7.88724,7.794808,1000.0,-11.7192,,stop,3
1.0,LINKUSDT,F_127,2026-06-05T16:50:00+00:00,2026-06-05T18:30:00+00:00,7.442663,7.288176,1000.0,-20.7569,,stop,20
