symbol,engine,window,kind,entry_time,exit_time,entry,exit,pnl,notional,bars_held,buy_px,sell_px
ATOMUSDT,static_broken,اختيار,cycle,2021-11-14 00:04:00+00:00,2021-11-14 00:16:00+00:00,32.50161964285714,32.60817171428571,0.46887600188588263,142.85714285714286,1,32.464285714285715,32.645714285714284
ATOMUSDT,static_broken,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:27:00+00:00,32.68325685714286,32.78939164285714,0.4644441874421584,142.85714285714286,1,32.645714285714284,32.82714285714285
ATOMUSDT,static_broken,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:38:00+00:00,32.864894071428566,32.97061157142857,0.4600613603725331,142.85714285714286,1,32.82714285714285,33.00857142857143
ATOMUSDT,static_broken,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:39:00+00:00,33.04653128571429,33.1518315,0.4557267129131501,142.85714285714286,1,33.00857142857143,33.19
ATOMUSDT,static_broken,اختيار,cycle,2021-11-14 05:22:00+00:00,2021-11-14 05:58:00+00:00,32.31998242857143,32.42695178571429,0.4733576296258904,142.85714285714286,1,32.28285714285715,32.464285714285715
ATOMUSDT,static_broken,اختيار,cycle,2021-11-14 08:18:00+00:00,2021-11-14 08:48:00+00:00,32.138345214285714,32.245731857142864,0.4778899152558881,142.85714285714286,1,32.10142857142857,32.28285714285715
ATOMUSDT,static_broken,اختيار,cycle,2021-11-14 09:03:00+00:00,2021-11-14 09:40:00+00:00,32.138345214285714,32.245731857142864,0.4778899152558881,142.85714285714286,1,32.10142857142857,32.28285714285715
ATOMUSDT,static_broken,اختيار,cycle,2021-11-14 09:52:00+00:00,2021-11-14 12:45:00+00:00,32.138345214285714,32.245731857142864,0.4778899152558881,142.85714285714286,1,32.10142857142857,32.28285714285715
ATOMUSDT,static_broken,اختيار,flatten,2021-11-14 14:37:00+00:00,2021-11-14 16:50:00+00:00,31.956708000000003,31.244028,-3.189581095596144,142.85714285714286,1,31.92,31.28
ATOMUSDT,static_broken,اختيار,flatten,2021-11-14 14:09:00+00:00,2021-11-14 16:50:00+00:00,32.138345214285714,31.244028,-3.979872788419357,142.85714285714286,1,32.10142857142857,31.28
ATOMUSDT,static_broken,اختيار,flatten,2021-11-14 07:38:00+00:00,2021-11-14 16:50:00+00:00,32.31998242857143,31.244028,-4.761281655772318,142.85714285714286,1,32.28285714285715,31.28
ATOMUSDT,static_broken,اختيار,flatten,2021-11-14 03:30:00+00:00,2021-11-14 16:50:00+00:00,32.50161964285714,31.244028,-5.533956624233854,142.85714285714286,1,32.464285714285715,31.28
ATOMUSDT,static_broken,اختيار,flatten,2021-11-14 02:49:00+00:00,2021-11-14 16:50:00+00:00,32.68325685714286,31.244028,-6.298043309744696,142.85714285714286,1,32.645714285714284,31.28
ATOMUSDT,static_broken,اختيار,flatten,2021-11-14 02:01:00+00:00,2021-11-14 16:50:00+00:00,32.864894071428566,31.244028,-7.053684109093372,142.85714285714286,1,32.82714285714285,31.28
ATOMUSDT,static_broken,اختيار,flatten,2021-11-14 00:44:00+00:00,2021-11-14 16:50:00+00:00,33.04653128571429,31.244028,-7.801018288385214,142.85714285714286,1,33.00857142857143,31.28
ATOMUSDT,dynamic_broken,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:17:00+00:00,32.5605147145687,32.638086615273274,0.2981414340005755,125.0,1,32.52311313446406,32.67566362844599
ATOMUSDT,dynamic_broken,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:27:00+00:00,32.713240641618704,32.791176395307545,0.29814143400056986,125.0,1,32.67566362844599,32.82892966442163
ATOMUSDT,dynamic_broken,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:37:00+00:00,32.866682933535714,32.944984246870554,0.29814143400058657,125.0,1,32.82892966442163,32.982914598659015
ATOMUSDT,dynamic_broken,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:39:00+00:00,33.020844950447476,33.099513538095174,0.2981414340005615,125.0,1,32.982914598659015,33.13762180316882
ATOMUSDT,dynamic_broken,اختيار,cycle,2021-11-14 00:44:00+00:00,2021-11-14 00:45:00+00:00,33.020844950447476,33.099513538095174,0.2981414340005615,125.0,1,32.982914598659015,33.13762180316882
ATOMUSDT,dynamic_broken,اختيار,cycle,2021-11-14 11:03:00+00:00,2021-11-14 11:52:00+00:00,32.106601756212115,32.18309225844241,0.2981414340005664,125.0,1,32.06972157639925,32.22014542568194
ATOMUSDT,dynamic_broken,اختيار,flatten,2021-11-14 14:37:00+00:00,2021-11-14 16:50:00+00:00,31.956708000000003,31.244028,-2.7908834586466256,125.0,1,31.92,31.28
ATOMUSDT,dynamic_broken,اختيار,flatten,2021-11-14 14:30:00+00:00,2021-11-14 16:50:00+00:00,32.106601756212115,31.244028,-3.36210338682399,125.0,1,32.06972157639925,31.28
ATOMUSDT,dynamic_broken,اختيار,flatten,2021-11-14 08:04:00+00:00,2021-11-14 16:50:00+00:00,32.257198592921476,31.244028,-3.9306565020726945,125.0,1,32.22014542568194,31.28
