symbol,engine,window,kind,entry_time,exit_time,entry,exit,pnl,notional,bars_held,buy_px,sell_px,buy_level,sell_level
ATOMUSDT,rnd110058,اختيار,cycle,2022-11-01 12:07:00+00:00,2022-11-01 12:19:00+00:00,13.922850028571428,13.989607714285714,0.685763299855017,142.85714285714286,1,13.906857142857143,14.005714285714285,13.906857142857143,14.005714285714285
ATOMUSDT,rnd110058,اختيار,cycle,2022-11-01 13:46:00+00:00,2022-11-01 14:17:00+00:00,13.922850028571428,13.989607714285714,0.685763299855017,142.85714285714286,1,13.906857142857143,14.005714285714285,13.906857142857143,14.005714285714285
ATOMUSDT,rnd110058,اختيار,cycle,2022-11-01 11:46:00+00:00,2022-11-01 15:30:00+00:00,13.996077,14.088351171428572,0.9411890190592862,142.59485924112607,1,13.98,14.104571428571429,14.005714285714285,14.104571428571429
ATOMUSDT,rnd110058,اختيار,cycle,2022-11-01 11:46:00+00:00,2022-11-01 16:00:00+00:00,13.996077,14.187094628571428,1.9347083880750744,141.595430053073,1,13.98,14.20342857142857,14.104571428571429,14.20342857142857
ATOMUSDT,rnd110058,اختيار,cycle,2022-11-01 16:32:00+00:00,2022-11-01 17:21:00+00:00,14.021820857142856,14.088351171428572,0.6786037768840868,142.85714285714286,1,14.005714285714285,14.104571428571429,14.005714285714285,14.104571428571429
ATOMUSDT,rnd110058,اختيار,cycle,2022-11-01 20:06:00+00:00,2022-11-01 20:35:00+00:00,13.922850028571428,13.989607714285714,0.685763299855017,142.85714285714286,1,13.906857142857143,14.005714285714285,13.906857142857143,14.005714285714285
ATOMUSDT,rnd110058,اختيار,cycle,2022-11-01 19:47:00+00:00,2022-11-01 21:52:00+00:00,14.021820857142856,14.088351171428572,0.6786037768840868,142.85714285714286,1,14.005714285714285,14.104571428571429,14.005714285714285,14.104571428571429
ATOMUSDT,rnd110058,اختيار,cycle,2022-11-02 00:07:00+00:00,2022-11-02 00:16:00+00:00,14.021820857142856,14.088351171428572,0.6786037768840868,142.85714285714286,1,14.005714285714285,14.104571428571429,14.005714285714285,14.104571428571429
ATOMUSDT,rnd110058,اختيار,cycle,2022-11-01 16:15:00+00:00,2022-11-02 00:18:00+00:00,14.120791685714286,14.187094628571428,0.6715446142804967,142.85714285714286,1,14.104571428571429,14.20342857142857,14.104571428571429,14.20342857142857
ATOMUSDT,rnd110058,اختيار,cycle,2022-11-02 02:06:00+00:00,2022-11-02 03:23:00+00:00,13.922850028571428,13.989607714285714,0.685763299855017,142.85714285714286,1,13.906857142857143,14.005714285714285,13.906857142857143,14.005714285714285
ATOMUSDT,rnd110058,اختيار,cycle,2022-11-02 07:15:00+00:00,2022-11-02 09:01:00+00:00,13.8238792,13.890864257142859,0.6930253387566038,142.85714285714286,1,13.808,13.906857142857143,13.808,13.906857142857143
ATOMUSDT,rnd110058,اختيار,flatten,2022-11-02 09:11:00+00:00,2022-11-02 10:03:00+00:00,13.8238792,13.516278384,-3.1824285714285794,142.85714285714286,1,13.808,13.531839999999999,13.808,13.906857142857143
ATOMUSDT,rnd110058,اختيار,flatten,2022-11-02 04:15:00+00:00,2022-11-02 10:03:00+00:00,13.922850028571428,13.516278384,-4.176476605286485,142.85714285714286,1,13.906857142857143,13.531839999999999,13.906857142857143,14.005714285714285
ATOMUSDT,rnd110058,اختيار,flatten,2022-11-02 01:49:00+00:00,2022-11-02 10:03:00+00:00,14.021820857142856,13.516278384,-5.156491974121344,142.85714285714286,1,14.005714285714285,13.531839999999999,14.005714285714285,14.104571428571429
ATOMUSDT,rnd110058,اختيار,flatten,2022-11-02 00:40:00+00:00,2022-11-02 10:03:00+00:00,14.120791685714286,13.516278384,-6.122769737413264,142.85714285714286,1,14.104571428571429,13.531839999999999,14.104571428571429,14.20342857142857
