symbol,engine,window,kind,entry_time,exit_time,entry,exit,pnl,notional,bars_held,buy_px,sell_px,buy_level,sell_level,same_bar
ATOMUSDT,static,اختيار,cycle,2021-11-14 00:04:00+00:00,2021-11-14 00:16:00+00:00,32.50648928571429,32.60327485714286,0.42589910419612337,142.85714285714286,1,32.464285714285715,32.645714285714284,32.464285714285715,32.645714285714284,
ATOMUSDT,static,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:27:00+00:00,32.552263,32.78446757142857,1.016123627816243,142.2632592333275,1,32.51,32.82714285714285,32.645714285714284,32.82714285714285,
ATOMUSDT,static,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:38:00+00:00,32.552263,32.965660285714286,1.799022088490719,141.47700073980593,1,32.51,33.00857142857143,32.82714285714285,33.00857142857143,
ATOMUSDT,static,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:39:00+00:00,32.552263,33.146853,2.57331429066042,140.699385441011,1,32.51,33.19,33.00857142857143,33.19,
ATOMUSDT,static,اختيار,cycle,2021-11-14 05:22:00+00:00,2021-11-14 05:58:00+00:00,32.324824857142865,32.42208214285714,0.4303800589179482,142.85714285714286,1,32.28285714285715,32.464285714285715,32.28285714285715,32.464285714285715,
ATOMUSDT,static,اختيار,cycle,2021-11-14 08:18:00+00:00,2021-11-14 08:48:00+00:00,32.14316042857143,32.240889428571435,0.43491166392242525,142.85714285714286,1,32.10142857142857,32.28285714285715,32.10142857142857,32.28285714285715,
ATOMUSDT,static,اختيار,cycle,2021-11-14 09:03:00+00:00,2021-11-14 09:40:00+00:00,32.14316042857143,32.240889428571435,0.43491166392242525,142.85714285714286,1,32.10142857142857,32.28285714285715,32.10142857142857,32.28285714285715,
ATOMUSDT,static,اختيار,cycle,2021-11-14 09:52:00+00:00,2021-11-14 12:45:00+00:00,32.14316042857143,32.240889428571435,0.43491166392242525,142.85714285714286,1,32.10142857142857,32.28285714285715,32.10142857142857,32.28285714285715,
ATOMUSDT,static,اختيار,flatten,2021-11-14 14:37:00+00:00,2021-11-14 16:50:00+00:00,31.961496000000004,31.240933920000003,-3.224857142857145,142.85714285714286,1,31.92,31.2816,31.92,32.10142857142857,
ATOMUSDT,static,اختيار,flatten,2021-11-14 14:09:00+00:00,2021-11-14 16:50:00+00:00,32.14316042857143,31.240933920000003,-4.015070573501063,142.85714285714286,1,32.10142857142857,31.2816,32.10142857142857,32.28285714285715,
