symbol,engine,window,kind,entry_time,exit_time,entry,exit,pnl,notional,bars_held,buy_px,sell_px,buy_level,sell_level,same_bar
ATOMUSDT,static,اختيار,cycle,2021-11-14 00:04:00+00:00,2021-11-14 00:16:00+00:00,32.50161964285714,32.60817171428571,0.46887600188588263,142.85714285714286,1,32.464285714285715,32.645714285714284,32.464285714285715,32.645714285714284,
ATOMUSDT,static,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:27:00+00:00,32.547386499999995,32.78939164285714,1.059010777424932,142.2632592333275,1,32.51,32.82714285714285,32.645714285714284,32.82714285714285,
ATOMUSDT,static,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:38:00+00:00,32.547386499999995,32.97061157142857,1.841790641144417,141.47700073980593,1,32.51,33.00857142857143,32.82714285714285,33.00857142857143,
ATOMUSDT,static,اختيار,cycle,2021-11-14 00:00:00+00:00,2021-11-14 00:39:00+00:00,32.547386499999995,33.1518315,2.615965550073598,140.699385441011,1,32.51,33.19,33.00857142857143,33.19,
ATOMUSDT,static,اختيار,cycle,2021-11-14 05:22:00+00:00,2021-11-14 05:58:00+00:00,32.31998242857143,32.42695178571429,0.4733576296258904,142.85714285714286,1,32.28285714285715,32.464285714285715,32.28285714285715,32.464285714285715,
ATOMUSDT,static,اختيار,cycle,2021-11-14 08:18:00+00:00,2021-11-14 08:48:00+00:00,32.138345214285714,32.245731857142864,0.4778899152558881,142.85714285714286,1,32.10142857142857,32.28285714285715,32.10142857142857,32.28285714285715,
ATOMUSDT,static,اختيار,cycle,2021-11-14 09:03:00+00:00,2021-11-14 09:40:00+00:00,32.138345214285714,32.245731857142864,0.4778899152558881,142.85714285714286,1,32.10142857142857,32.28285714285715,32.10142857142857,32.28285714285715,
ATOMUSDT,static,اختيار,cycle,2021-11-14 09:52:00+00:00,2021-11-14 12:45:00+00:00,32.138345214285714,32.245731857142864,0.4778899152558881,142.85714285714286,1,32.10142857142857,32.28285714285715,32.10142857142857,32.28285714285715,
ATOMUSDT,static,اختيار,flatten,2021-11-14 14:37:00+00:00,2021-11-14 16:50:00+00:00,31.956708000000003,31.24562616,-3.1824285714285803,142.85714285714286,1,31.92,31.2816,31.92,32.10142857142857,
ATOMUSDT,static,اختيار,flatten,2021-11-14 14:09:00+00:00,2021-11-14 16:50:00+00:00,32.138345214285714,31.24562616,-3.972760688379304,142.85714285714286,1,32.10142857142857,31.2816,32.10142857142857,32.28285714285715,
