symbol,NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,net,trades,win_pct,pf
SOLUSDT,std,0.0025,0.0015,-9744.933798594424,3669,25.65,0.590475197364807
SOLUSDT,std,0.0025,0.0045,-9744.933798594424,3669,25.65,0.590475197364807
SOLUSDT,std,0.004,0.0015,-9744.933798594424,3669,25.65,0.590475197364807
SOLUSDT,std,0.004,0.0045,-9744.933798594424,3669,25.65,0.590475197364807
SOLUSDT,std,0.005,0.0015,-9744.933798594424,3669,25.65,0.590475197364807
SOLUSDT,std,0.005,0.0045,-9744.933798594424,3669,25.65,0.590475197364807
SOLUSDT,dual,0.0025,0.0015,-7411.635467987996,3882,56.75,0.4439071842597717
SOLUSDT,dual,0.0025,0.0045,-4267.107781156752,3892,56.73,0.680994052345202
SOLUSDT,dual,0.004,0.0015,-7736.033784337915,3783,48.56,0.5033727969107469
SOLUSDT,dual,0.004,0.0045,-6827.595923857789,3790,48.52,0.5628939669200949
SOLUSDT,dual,0.005,0.0015,-8001.076785640288,3745,44.33,0.526464371404846
SOLUSDT,dual,0.005,0.0045,-7735.534108773561,3748,44.34,0.5424573174211054
