symbol,exit,trigger,slip_per_side,cost_per_side,net,trades,win_pct,pf,delta_vs_base
RENDERUSDT,dual,ALL14,0.0003,0.0013,8228.795074911144,2945,84.92,1.6403865317122193,0.0
RENDERUSDT,dual,ALL14,0.001,0.002,3427.453210514787,2899,82.24,1.2280192309917801,-4801.341864396358
RENDERUSDT,dual,ALL14,0.003,0.004,-8561.797717330273,2829,76.35,0.5835798352031982,-16790.59279224142
