symbol,dropped,net,trades,win_pct,pf,delta_vs_all14
RENDERUSDT,MSS,8252.121453623658,2944,84.95,1.6433697742271953,23.32637871251427
RENDERUSDT,FVG,7690.965456943963,2603,84.9,1.688131641858231,-537.8296179671815
RENDERUSDT,SFP,8132.0203700550965,2941,84.84,1.630440476121944,-96.77470485604772
RENDERUSDT,MicroBurst,7602.158158337333,2843,84.84,1.6076331362371203,-626.6369165738115
RENDERUSDT,RSI,8223.932137105263,2932,84.92,1.6465732904016144,-4.862937805881302
RENDERUSDT,MACD,8117.410996626651,2801,85.01,1.6675410468175988,-111.38407828449363
RENDERUSDT,Bollinger,7933.569164151882,2717,84.95,1.6590656273021016,-295.22591075926175
RENDERUSDT,EMA,8414.89117540606,2897,85.05,1.6760830955567727,186.09610049491494
RENDERUSDT,ADX,7734.493023961748,2848,84.66,1.6098706027489786,-494.3020509493963
RENDERUSDT,Stochastic,7078.748883496987,2825,84.5,1.5605698076303631,-1150.046191414157
RENDERUSDT,OBV,7700.358887162896,2726,85.03,1.6444619464364072,-528.4361877482479
RENDERUSDT,SuperTrend,8228.795074911144,2945,84.92,1.6403865317122193,0.0
RENDERUSDT,RSI7,8194.837456262918,2940,84.9,1.6377438602842156,-33.957618648226344
RENDERUSDT,KAMA,8043.818600965634,2869,84.94,1.640964708798575,-184.9764739455104
