symbol,NOVA_EMA_FAST,NOVA_EMA_SLOW,NOVA_VOL_MULT,net,trades,win_pct,pf
XLMUSDT,8,20,1.0,1.0435463888673184,14,78.57,1.512945520017871
XLMUSDT,8,20,1.2,-0.00667927181723281,10,80.0,0.9947921794586647
XLMUSDT,8,20,1.5,-0.3321907781279311,5,80.0,0.4827579872974895
XLMUSDT,8,21,1.0,1.6931734970332566,16,81.25,1.8322636819805302
XLMUSDT,8,21,1.2,0.3540772930355538,11,81.82,1.276073657480658
XLMUSDT,8,21,1.5,0.028565786724855727,6,83.33,1.0444787332847176
XLMUSDT,9,20,1.0,1.33241693218047,15,80.0,1.6549371484096291
XLMUSDT,9,20,1.2,-0.00667927181723281,10,80.0,0.9947921794586647
XLMUSDT,9,20,1.5,-0.3321907781279311,5,80.0,0.4827579872974895
XLMUSDT,9,21,1.0,1.6931734970332566,16,81.25,1.8322636819805302
XLMUSDT,9,21,1.2,0.3540772930355538,11,81.82,1.276073657480658
XLMUSDT,9,21,1.5,0.028565786724855727,6,83.33,1.0444787332847176
