symbol,NOVA_COOLDOWN_S,NOVA_MAX_PER,net,trades,win_pct,pf
BTCUSDT,120.0,2,497.0592041275842,105,42.86,1.2760216316486828
BTCUSDT,120.0,3,570.4472315890672,116,43.1,1.2890940273410367
BTCUSDT,300.0,2,497.0592041275842,105,42.86,1.2760216316486828
BTCUSDT,300.0,3,570.4472315890672,116,43.1,1.2890940273410367
ETHUSDT,120.0,2,128.4130521903061,108,37.96,1.0553999621674544
ETHUSDT,120.0,3,81.98465305369902,122,37.7,1.0305921705364411
ETHUSDT,300.0,2,128.4130521903061,108,37.96,1.0553999621674544
ETHUSDT,300.0,3,81.98465305369902,122,37.7,1.0305921705364411
SOLUSDT,120.0,2,2420.521335442241,107,46.73,1.7269421382674002
SOLUSDT,120.0,3,2376.719202964389,127,44.09,1.5706427599913102
SOLUSDT,300.0,2,2420.521335442241,107,46.73,1.7269421382674002
SOLUSDT,300.0,3,2376.719202964389,127,44.09,1.5706427599913102
XLMUSDT,120.0,2,79.17828724375889,88,34.09,1.0312329702939198
XLMUSDT,120.0,3,146.73217998791364,97,32.99,1.0524150216721195
XLMUSDT,300.0,2,79.17828724375889,88,34.09,1.0312329702939198
XLMUSDT,300.0,3,146.73217998791364,97,32.99,1.0524150216721195
LINKUSDT,120.0,2,1205.0845737133857,98,41.84,1.418137614402847
LINKUSDT,120.0,3,964.3291533893612,114,39.47,1.2793181060051302
LINKUSDT,300.0,2,1205.0845737133857,98,41.84,1.418137614402847
LINKUSDT,300.0,3,964.3291533893612,114,39.47,1.2793181060051302
GRAMUSDT,120.0,2,-581.62240781691,23,17.39,0.35137320703866304
GRAMUSDT,120.0,3,-550.8809350022182,25,20.0,0.41509643235102794
GRAMUSDT,300.0,2,-581.62240781691,23,17.39,0.35137320703866304
GRAMUSDT,300.0,3,-550.8809350022182,25,20.0,0.41509643235102794
RENDERUSDT,120.0,2,683.7912101408469,24,50.0,1.7378897354081393
RENDERUSDT,120.0,3,450.6029610926538,27,44.44,1.388493341674324
RENDERUSDT,300.0,2,683.7912101408469,24,50.0,1.7378897354081393
RENDERUSDT,300.0,3,450.6029610926538,27,44.44,1.388493341674324
FILUSDT,120.0,2,68.55723201806296,89,34.83,1.0215852564834427
FILUSDT,120.0,3,1.2926607992951347,101,34.65,1.000355587441776
FILUSDT,300.0,2,68.55723201806296,89,34.83,1.0215852564834427
FILUSDT,300.0,3,1.2926607992951347,101,34.65,1.000355587441776
