NOVA_R,NOVA_CAP,NOVA_HALVE,symbol,net,trades,win_pct,gross,costs,risk_total
0.2,12.0,1.3,BTCUSDT,-22.95,809,12.11,0.16,23.1,22.51
0.2,12.0,1.5,BTCUSDT,-23.7,809,12.11,0.56,24.26,23.89
0.2,12.0,2.0,BTCUSDT,-24.69,809,12.11,0.35,25.04,24.94
0.2,25.0,1.3,BTCUSDT,-47.18,809,12.11,0.79,47.98,46.22
0.2,25.0,1.5,BTCUSDT,-48.72,809,12.11,1.65,50.37,49.06
0.2,25.0,2.0,BTCUSDT,-50.74,809,12.11,1.25,51.99,51.21
1.0,12.0,1.3,BTCUSDT,-22.95,809,12.11,0.16,23.1,22.51
1.0,12.0,1.5,BTCUSDT,-23.7,809,12.11,0.56,24.26,23.89
1.0,12.0,2.0,BTCUSDT,-24.69,809,12.11,0.35,25.04,24.94
1.0,25.0,1.3,BTCUSDT,-47.8,809,12.11,0.33,48.14,46.9
1.0,25.0,1.5,BTCUSDT,-49.38,809,12.11,1.16,50.54,49.78
1.0,25.0,2.0,BTCUSDT,-51.43,809,12.11,0.73,52.16,51.95
2.0,12.0,1.3,BTCUSDT,-22.95,809,12.11,0.16,23.1,22.51
2.0,12.0,1.5,BTCUSDT,-23.7,809,12.11,0.56,24.26,23.89
2.0,12.0,2.0,BTCUSDT,-24.69,809,12.11,0.35,25.04,24.94
2.0,25.0,1.3,BTCUSDT,-47.8,809,12.11,0.33,48.14,46.9
2.0,25.0,1.5,BTCUSDT,-49.38,809,12.11,1.16,50.54,49.78
2.0,25.0,2.0,BTCUSDT,-51.43,809,12.11,0.73,52.16,51.95
