القياس,cost,الفترة,المناخ,net,trades,per,gross,gross_raw,costs,move,cost_per,median_hold,overlap_ratio,max_concurrent,overlapping_trades
حجم k=1.8,0.001,اختيار,صاعد,54.47,169,0.32231,61.29,61.28678738213715,6.81,0.36264371232033815,0.040322321390929415,21.0,0.0,1,0
حجم k=1.8,0.001,اختيار,عرضي,15.15,119,0.12731,19.93,19.930874821367237,4.78,0.16748634303669946,0.04012735898405266,28.0,0.0,1,0
حجم k=1.8,0.001,اختيار,هابط,36.4,596,0.06107,60.27,60.27493154828363,23.88,0.10113243548369737,0.04006107136411958,20.0,0.0,1,0
حجم k=1.8,0.001,اختيار,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
حجم k=1.8,0.001,حكم,صاعد,-41.89,359,-0.11669,-27.57,-27.572071126214176,14.32,-0.07680242653541554,0.03988331425920538,24.0,0.0,1,0
حجم k=1.8,0.001,حكم,عرضي,-32.63,117,-0.27889,-27.99,-27.986504862842466,4.65,-0.23920089626361082,0.03972107802571068,17.0,0.0,1,0
حجم k=1.8,0.001,حكم,هابط,79.53,766,0.10383,110.25,110.25211544565951,30.72,0.14393226559485575,0.0401038284371577,21.0,0.0,1,0
حجم k=1.8,0.001,حكم,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
حجم k=1.8,0.00075,حكم,صاعد,-38.71,358,-0.10813,-27.99,-27.99457635027465,10.71,-0.07819714064322528,0.029918912959797733,24.0,0.0,1,0
حجم k=1.8,0.00075,حكم,عرضي,-31.81,117,-0.27188,-28.32,-28.32326099236173,3.49,-0.24207915378086947,0.029796093564490977,17.0,0.0,1,0
حجم k=1.8,0.00075,حكم,هابط,88.37,764,0.11567,111.36,111.35939207765594,22.99,0.1457583665937905,0.030086753709663093,21.5,0.0,1,0
حجم k=1.8,0.00075,حكم,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
