NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-01T03:06:00+00:00,2026-06-01T03:39:00+00:00,710.332233,704.803367,1000.0,-7.7835,,stop,33
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-01T09:21:00+00:00,2026-06-01T09:32:00+00:00,694.561758,700.059068,1000.0,7.9148,,tp,11
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-01T09:36:00+00:00,2026-06-01T09:42:00+00:00,703.172938,712.636733,1000.0,13.4587,,tp,6
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-01T09:46:00+00:00,2026-06-01T09:54:00+00:00,722.818444,713.766483,1000.0,-12.5231,,stop,8
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-01T17:46:00+00:00,2026-06-01T20:08:00+00:00,688.614036,696.224908,1000.0,11.0525,,tp,142
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-01T18:31:00+00:00,2026-06-01T21:09:00+00:00,694.541732,689.678269,1000.0,-7.0024,,stop,158
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-01T20:21:00+00:00,2026-06-01T20:33:00+00:00,701.030156,696.937244,1000.0,-5.8384,,stop,12
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-01T23:21:00+00:00,2026-06-01T23:53:00+00:00,695.9035,691.73593,1000.0,-5.9887,,stop,32
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-02T03:26:00+00:00,2026-06-02T04:09:00+00:00,695.052395,689.968554,1000.0,-7.3143,,stop,43
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-03T00:36:00+00:00,2026-06-03T01:09:00+00:00,656.802735,651.255001,1000.0,-8.4466,,stop,33
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-03T05:31:00+00:00,2026-06-03T09:48:00+00:00,643.415354,638.335866,1000.0,-7.8946,,stop,257
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-03T09:11:00+00:00,2026-06-03T09:20:00+00:00,645.728357,641.882823,1000.0,-5.9553,,stop,9
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-03T21:51:00+00:00,2026-06-03T23:10:00+00:00,628.51601,623.087799,1000.0,-8.6366,,stop,79
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-04T03:06:00+00:00,2026-06-04T05:11:00+00:00,614.838252,604.752479,1000.0,-16.4039,,stop,125
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-04T12:06:00+00:00,2026-06-04T14:11:00+00:00,596.224085,605.481649,1000.0,15.527,,tp,125
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-04T12:31:00+00:00,2026-06-05T02:43:00+00:00,600.920182,594.915785,1000.0,-9.992,,stop,852
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-04T13:41:00+00:00,2026-06-04T17:33:00+00:00,605.856591,599.623209,1000.0,-10.2885,,stop,232
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-04T18:31:00+00:00,2026-06-04T19:11:00+00:00,610.442545,605.792561,1000.0,-7.6174,,stop,40
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-04T23:56:00+00:00,2026-06-05T00:14:00+00:00,605.766474,601.797405,1000.0,-6.5521,,stop,18
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-05T00:26:00+00:00,2026-06-05T00:59:00+00:00,605.606266,601.430531,1000.0,-6.8951,,stop,33
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-05T04:56:00+00:00,2026-06-05T05:35:00+00:00,599.638518,593.745644,1000.0,-9.8274,,stop,39
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-05T07:36:00+00:00,2026-06-05T13:57:00+00:00,591.497949,582.134475,1000.0,-15.8301,,stop,381
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-05T09:31:00+00:00,2026-06-05T11:09:00+00:00,595.012512,589.527985,1000.0,-9.2175,,stop,98
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-05T20:11:00+00:00,2026-06-06T04:29:00+00:00,571.371819,562.458243,1000.0,-15.6003,,stop,498
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-06T05:51:00+00:00,2026-06-07T08:35:00+00:00,576.628644,591.401678,1000.0,25.6197,,tp,1604
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-06T12:56:00+00:00,2026-06-06T13:15:00+00:00,578.100555,574.335804,1000.0,-6.5123,,stop,19
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-06T18:31:00+00:00,2026-06-06T22:03:00+00:00,575.44711,571.862721,1000.0,-6.2289,,stop,212
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T01:11:00+00:00,2026-06-07T05:13:00+00:00,578.971686,582.753121,1000.0,6.5313,,tp,242
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T01:31:00+00:00,2026-06-07T01:50:00+00:00,582.005625,578.197276,1000.0,-6.5435,,stop,19
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T04:01:00+00:00,2026-06-07T04:10:00+00:00,581.7553,578.834693,1000.0,-5.0203,,stop,9
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T04:51:00+00:00,2026-06-07T06:28:00+00:00,582.876756,586.327823,1000.0,5.9207,,tp,97
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T05:21:00+00:00,2026-06-07T08:29:00+00:00,585.339954,590.22024,1000.0,8.3375,,tp,188
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T07:11:00+00:00,2026-06-07T08:11:00+00:00,590.26635,586.852449,1000.0,-5.7837,,stop,60
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T08:31:00+00:00,2026-06-07T08:47:00+00:00,591.728248,595.473125,1000.0,6.3287,,tp,16
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T09:01:00+00:00,2026-06-07T09:34:00+00:00,597.7761,593.646212,1000.0,-6.9088,,stop,33
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T14:26:00+00:00,2026-06-07T14:45:00+00:00,592.699509,589.624856,1000.0,-5.1875,,stop,19
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T16:36:00+00:00,2026-06-07T16:57:00+00:00,595.423045,592.033828,1000.0,-5.6921,,stop,21
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T17:06:00+00:00,2026-06-07T19:01:00+00:00,596.434358,592.995318,1000.0,-5.766,,stop,115
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T21:16:00+00:00,2026-06-07T21:41:00+00:00,595.192746,591.830936,1000.0,-5.6483,,stop,25
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-07T22:16:00+00:00,2026-06-08T01:14:00+00:00,605.716409,600.093843,1000.0,-9.2825,,stop,178
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-08T07:51:00+00:00,2026-06-08T08:01:00+00:00,597.906269,594.49385,1000.0,-5.7073,,stop,10
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-08T09:16:00+00:00,2026-06-08T15:12:00+00:00,599.458284,604.62268,1000.0,8.6151,,tp,356
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-08T11:21:00+00:00,2026-06-08T12:05:00+00:00,601.370767,597.731276,1000.0,-6.052,,stop,44
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-08T15:01:00+00:00,2026-06-08T21:13:00+00:00,604.354641,609.358587,1000.0,8.2798,,tp,372
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-08T15:16:00+00:00,2026-06-08T17:01:00+00:00,605.68637,601.977067,1000.0,-6.1241,,stop,105
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-08T18:01:00+00:00,2026-06-08T19:15:00+00:00,608.980647,605.667968,1000.0,-5.4397,,stop,74
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-08T21:11:00+00:00,2026-06-08T21:59:00+00:00,610.242285,607.307472,1000.0,-4.8093,,stop,48
std,0.0025,0.0015,BNBUSDT,F_197,2026-06-09T04:36:00+00:00,2026-06-09T10:06:00+00:00,601.751261,598.291042,1000.0,-5.7502,,stop,330
