الرمز,الاسم,القرار$,صفقات_القرار,PF_القرار,بوابة,الحكم$,صفقات_الحكم
F-046,المشي على الحد العلوي (ركوب الزخم),-14.85,646,0.8965,✗,,
F-007,إطلاق TTM Squeeze مع انعكاس الزخم,-0.34,12,0.8573,✗,,
F-054,دايفرجنس RSI الصاعد الميكانيكي,-18.76,139,0.513,✗,,
F-032,انقلاب SAR مفلتر بـ EMA200 و ADX,-8.13,575,0.9261,✗,,
F-009,ترند ADX قوي مع شراء ملامسة EMA21,-46.08,1308,0.7966,✗,,
F-074,قاع مزدوج ميكانيكي + كسر العنق,10.29,77,1.8534,✓,-1.83,103.0
F-069,نجمة الصباح ثلاثية الشموع,-4.34,129,0.8095,✗,,
F-013,إيشيموكو محاذاة كاملة مع ADX,1.76,352,1.0303,✗,,
F-067,ابتلاع صاعد على متوسط متحرك رئيسي,-10.49,220,0.7262,✗,,
F-130,فجوة القيمة العادلة الصاعدة الصالحة,-394.84,8113,0.7285,✗,,
