symbol,NOVA_EPS,NOVA_FVG_MIN,NOVA_MSS_WINDOW,net,trades,win_pct,pf
BTCUSDT,2.0,0.1,8,-6.123153500300967,8,75.0,0.7796708260545004
BTCUSDT,2.0,0.1,12,33.639792817662126,9,88.89,4.1075796575106
BTCUSDT,2.0,0.1,20,-17.691779702728628,16,68.75,0.7386262800550738
BTCUSDT,2.0,0.2,8,-6.123153500300967,8,75.0,0.7796708260545004
BTCUSDT,2.0,0.2,12,33.639792817662126,9,88.89,4.1075796575106
BTCUSDT,2.0,0.2,20,-22.703353089628937,15,66.67,0.6645866073414748
BTCUSDT,2.0,0.3,8,-6.123153500300967,8,75.0,0.7796708260545004
BTCUSDT,2.0,0.3,12,20.179287254513763,8,87.5,2.864123923565471
BTCUSDT,2.0,0.3,20,-36.16385865277729,14,64.29,0.46572462338647214
BTCUSDT,2.8,0.1,8,-8.449866185741765,7,71.43,0.686152718989086
BTCUSDT,2.8,0.1,12,21.04672456907293,8,87.5,3.113625586902271
BTCUSDT,2.8,0.1,20,-21.6470985165943,13,69.23,0.6063329287064901
BTCUSDT,2.8,0.2,8,-8.449866185741765,7,71.43,0.686152718989086
BTCUSDT,2.8,0.2,12,21.04672456907293,8,87.5,3.113625586902271
BTCUSDT,2.8,0.2,20,-26.65867190349461,12,66.67,0.5151940901096614
BTCUSDT,2.8,0.3,8,-8.449866185741765,7,71.43,0.686152718989086
BTCUSDT,2.8,0.3,12,21.04672456907293,8,87.5,3.113625586902271
BTCUSDT,2.8,0.3,20,-26.65867190349461,12,66.67,0.5151940901096614
BTCUSDT,3.5,0.1,8,1.507774703683216,6,83.33,1.088871126476202
BTCUSDT,3.5,0.1,12,31.004365458497904,7,100.0,inf
BTCUSDT,3.5,0.1,20,-14.465925097517408,12,75.0,0.6787541480724953
BTCUSDT,3.5,0.2,8,1.507774703683216,6,83.33,1.088871126476202
BTCUSDT,3.5,0.2,12,31.004365458497904,7,100.0,inf
BTCUSDT,3.5,0.2,20,-19.477498484417712,11,72.73,0.5674617729689982
BTCUSDT,3.5,0.3,8,1.507774703683216,6,83.33,1.088871126476202
BTCUSDT,3.5,0.3,12,31.004365458497904,7,100.0,inf
BTCUSDT,3.5,0.3,20,-19.477498484417712,11,72.73,0.5674617729689982
