NOVA_R,NOVA_CAP,NOVA_HALVE,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-01T03:05:00+00:00,2026-06-01T03:15:00+00:00,74067.472703,73733.472988,12.0,-0.0541,-1.403,stop,2
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-01T17:00:00+00:00,2026-06-01T21:05:00+00:00,71657.043213,71287.871204,12.0,-0.0618,-1.336,stop,49
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-01T23:40:00+00:00,2026-06-02T00:00:00+00:00,71602.963,71274.191655,12.0,-0.0551,-1.393,stop,4
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-02T20:55:00+00:00,2026-06-02T22:10:00+00:00,67701.237342,67181.306531,12.0,-0.0922,-1.202,stop,15
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-03T05:05:00+00:00,2026-06-03T13:45:00+00:00,67100.377238,66557.753815,12.0,-0.097,-1.19,stop,104
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-03T06:35:00+00:00,2026-06-03T06:45:00+00:00,67552.574331,67143.360057,12.0,-0.0727,-1.272,stop,2
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-03T10:10:00+00:00,2026-06-03T10:15:00+00:00,67527.682013,67148.252799,12.0,-0.0674,-1.299,stop,1
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-03T21:50:00+00:00,2026-06-03T22:10:00+00:00,65860.277201,65305.334043,12.0,-0.1011,-1.181,stop,4
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-04T03:05:00+00:00,2026-06-04T09:25:00+00:00,63796.868252,62808.930357,12.0,-0.1858,-1.09,stop,76
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-04T04:15:00+00:00,2026-06-04T05:00:00+00:00,64714.019,64162.386465,12.0,-0.1023,-1.178,stop,9
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-04T12:25:00+00:00,2026-06-04T14:10:00+00:00,63376.602616,64365.992192,12.0,0.1873,1.844,tp,21
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-04T12:50:00+00:00,2026-06-04T13:15:00+00:00,63993.994183,63327.778051,12.0,-0.1249,-1.141,stop,5
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-04T13:40:00+00:00,2026-06-04T16:30:00+00:00,64233.395,63519.459358,12.0,-0.1334,-1.131,stop,34
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-04T19:30:00+00:00,2026-06-04T19:35:00+00:00,64211.3664,63688.359474,12.0,-0.0977,-1.188,stop,1
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-04T23:05:00+00:00,2026-06-04T23:15:00+00:00,63920.328542,63481.000105,12.0,-0.0825,-1.232,stop,2
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-04T23:55:00+00:00,2026-06-05T00:10:00+00:00,63945.010587,63581.278761,12.0,-0.0683,-1.295,stop,3
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-05T04:30:00+00:00,2026-06-05T04:45:00+00:00,63322.532416,62796.055566,12.0,-0.0998,-1.184,stop,3
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-05T04:55:00+00:00,2026-06-05T05:40:00+00:00,63400.994284,62868.976799,12.0,-0.1007,-1.182,stop,9
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-05T08:00:00+00:00,2026-06-05T08:35:00+00:00,63198.040787,62495.17987,12.0,-0.1335,-1.131,stop,7
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-05T20:10:00+00:00,2026-06-06T04:10:00+00:00,60964.611098,60072.867572,12.0,-0.1755,-1.096,stop,96
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-06T06:05:00+00:00,2026-06-06T10:15:00+00:00,61232.829329,60490.623442,12.0,-0.1455,-1.119,stop,50
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-06T12:10:00+00:00,2026-06-06T12:20:00+00:00,61149.080597,60776.735138,12.0,-0.0731,-1.27,stop,2
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-06T21:15:00+00:00,2026-06-06T21:45:00+00:00,60939.107987,60689.060938,12.0,-0.0492,-1.462,stop,6
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-06T23:40:00+00:00,2026-06-07T01:05:00+00:00,60908.658454,61212.141943,12.0,0.0598,1.584,tp,17
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-07T01:10:00+00:00,2026-06-07T05:10:00+00:00,61405.733813,61829.833258,6.0,0.0414,1.681,tp,48
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-07T01:30:00+00:00,2026-06-07T01:45:00+00:00,61718.910414,61298.230414,6.0,-0.0409,-1.234,stop,3
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-07T03:20:00+00:00,2026-06-07T03:25:00+00:00,61839.88748,61493.996938,12.0,-0.0671,-1.301,stop,1
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-07T07:55:00+00:00,2026-06-07T08:45:00+00:00,62395.0082,62757.568591,12.0,0.0697,1.632,tp,10
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-07T08:30:00+00:00,2026-06-07T08:40:00+00:00,62617.89758,62336.580254,12.0,-0.0539,-1.405,stop,2
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-07T08:50:00+00:00,2026-06-07T09:30:00+00:00,62847.645865,62489.873284,12.0,-0.0683,-1.294,stop,8
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-07T11:40:00+00:00,2026-06-07T12:05:00+00:00,62713.732003,62403.528959,12.0,-0.0594,-1.355,stop,5
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-07T14:25:00+00:00,2026-06-07T14:45:00+00:00,62126.609735,61810.734042,12.0,-0.061,-1.342,stop,4
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-07T22:15:00+00:00,2026-06-07T22:15:00+00:00,63669.643074,63085.469496,6.0,-0.0551,-1.164,stop,0
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-08T00:30:00+00:00,2026-06-08T01:10:00+00:00,63586.5552,63163.512891,12.0,-0.0798,-1.241,stop,8
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-08T07:50:00+00:00,2026-06-08T08:00:00+00:00,63432.355,63066.761489,12.0,-0.0692,-1.29,stop,2
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-08T11:40:00+00:00,2026-06-08T11:45:00+00:00,63837.490993,63453.168784,12.0,-0.0722,-1.274,stop,1
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-08T15:15:00+00:00,2026-06-08T15:30:00+00:00,64267.429187,63834.320835,12.0,-0.0809,-1.237,stop,3
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-08T21:05:00+00:00,2026-06-08T22:05:00+00:00,63692.713026,63416.462882,12.0,-0.052,-1.426,stop,12
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-08T21:45:00+00:00,2026-06-08T22:00:00+00:00,63920.9894,63643.205536,12.0,-0.0521,-1.425,stop,3
0.2,12.0,1.3,BTCUSDT,F_204,2026-06-09T04:35:00+00:00,2026-06-09T07:25:00+00:00,63272.136987,62952.901686,12.0,-0.0605,-1.345,stop,34
