symbol,NOVA_EMA_FAST,NOVA_EMA_SLOW,NOVA_VOL_MULT,net,trades,win_pct,pf
SOLUSDT,8,20,1.0,-5.537265431913608,396,60.86,0.7662998344662483
SOLUSDT,8,20,1.2,-4.19983025442857,271,59.41,0.749751843906973
SOLUSDT,8,20,1.5,-3.2284405670368597,172,57.56,0.7074090649596756
SOLUSDT,8,21,1.0,-4.899351917958268,393,61.58,0.7876140074575538
SOLUSDT,8,21,1.2,-3.938793024572242,275,60.0,0.7652288140309186
SOLUSDT,8,21,1.5,-2.9377388136394975,177,58.19,0.732903783635671
SOLUSDT,9,20,1.0,-5.92513400290938,415,61.2,0.762022694914176
SOLUSDT,9,20,1.2,-4.639474861481793,288,59.72,0.7409660105482427
SOLUSDT,9,20,1.5,-3.2509567833030255,186,58.6,0.7216880021788233
SOLUSDT,9,21,1.0,-6.293357219489191,411,60.34,0.7470604121543128
SOLUSDT,9,21,1.2,-5.031134941829632,292,58.9,0.7258550444038435
SOLUSDT,9,21,1.5,-3.5392931696446146,191,57.59,0.7070838450528791
