البند,الفترة,المناخ,مقيس,الورقة,الفرق,صفقات,غير_مصنف_صافي
محفظة,SEL,صاعد,98.63,98.63,0.0,156,0.0
محفظة,SEL,عرضي,-86.02,-86.02,0.0,328,0.0
محفظة,SEL,هابط,55.19,55.19,0.0,569,0.0
محفظة,JUD,صاعد,-72.44,-72.44,0.0,383,0.0
محفظة,JUD,عرضي,-91.67,-91.67,0.0,588,0.0
محفظة,JUD,هابط,99.22,99.22,0.0,808,0.0
