NOVA_BODY,NOVA_RNG_ATR,NOVA_LB,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.4,0.6,10,BNBUSDT,F_126,2026-06-01T02:40:00+00:00,2026-06-01T04:10:00+00:00,707.859022,700.458669,1000.0,-10.4546,,stop,18
0.4,0.6,10,BNBUSDT,F_126,2026-06-01T09:15:00+00:00,2026-06-01T09:30:00+00:00,692.328859,697.752029,1000.0,7.8332,,tp,3
0.4,0.6,10,BNBUSDT,F_126,2026-06-01T09:30:00+00:00,2026-06-01T09:30:00+00:00,695.80337,701.31904,1000.0,7.9271,,tp,0
0.4,0.6,10,BNBUSDT,F_126,2026-06-01T09:35:00+00:00,2026-06-01T09:35:00+00:00,705.9165,700.464711,1000.0,-7.723,,stop,0
0.4,0.6,10,BNBUSDT,F_126,2026-06-01T09:45:00+00:00,2026-06-01T09:55:00+00:00,718.492828,710.971647,1000.0,-10.468,,stop,2
0.4,0.6,10,BNBUSDT,F_126,2026-06-01T11:10:00+00:00,2026-06-01T11:30:00+00:00,708.670075,699.308362,1000.0,-13.2103,,stop,4
0.4,0.6,10,BNBUSDT,F_126,2026-06-01T15:35:00+00:00,2026-06-01T15:55:00+00:00,684.779057,678.047876,1000.0,-9.8297,,stop,4
0.4,0.6,10,BNBUSDT,F_126,2026-06-01T16:45:00+00:00,2026-06-01T18:30:00+00:00,685.439915,694.327543,1000.0,12.9663,,tp,21
0.4,0.6,10,BNBUSDT,F_126,2026-06-01T18:25:00+00:00,2026-06-01T20:15:00+00:00,692.489067,698.964944,1000.0,9.3516,,tp,22
0.4,0.6,10,BNBUSDT,F_126,2026-06-01T20:10:00+00:00,2026-06-01T20:50:00+00:00,699.277881,695.38984,1000.0,-5.5601,,stop,8
0.4,0.6,10,BNBUSDT,F_126,2026-06-01T20:25:00+00:00,2026-06-01T20:30:00+00:00,702.031456,697.937242,1000.0,-5.832,,stop,1
0.4,0.6,10,BNBUSDT,F_126,2026-06-01T23:20:00+00:00,2026-06-01T23:30:00+00:00,696.233929,692.007434,1000.0,-6.0705,,stop,2
0.4,0.6,10,BNBUSDT,F_126,2026-06-02T02:30:00+00:00,2026-06-02T05:00:00+00:00,689.535232,684.138979,1000.0,-7.8259,,stop,30
0.4,0.6,10,BNBUSDT,F_126,2026-06-02T03:25:00+00:00,2026-06-02T04:05:00+00:00,694.741992,689.571525,1000.0,-7.4423,,stop,8
0.4,0.6,10,BNBUSDT,F_126,2026-06-02T08:35:00+00:00,2026-06-02T08:40:00+00:00,685.660201,681.632925,1000.0,-5.8736,,stop,1
0.4,0.6,10,BNBUSDT,F_126,2026-06-02T20:10:00+00:00,2026-06-02T20:20:00+00:00,663.241094,657.389661,1000.0,-8.8225,,stop,2
0.4,0.6,10,BNBUSDT,F_126,2026-06-02T23:50:00+00:00,2026-06-03T02:25:00+00:00,652.206768,644.717544,1000.0,-11.4829,,stop,31
0.4,0.6,10,BNBUSDT,F_126,2026-06-03T00:15:00+00:00,2026-06-03T01:20:00+00:00,655.671266,649.595692,1000.0,-9.2662,,stop,13
0.4,0.6,10,BNBUSDT,F_126,2026-06-03T00:35:00+00:00,2026-06-03T01:05:00+00:00,656.75267,651.030942,1000.0,-8.7121,,stop,6
0.4,0.6,10,BNBUSDT,F_126,2026-06-03T05:05:00+00:00,2026-06-03T12:10:00+00:00,640.521597,634.975055,1000.0,-8.6594,,stop,85
0.4,0.6,10,BNBUSDT,F_126,2026-06-03T05:15:00+00:00,2026-06-03T09:45:00+00:00,643.405341,638.26309,1000.0,-7.9922,,stop,54
0.4,0.6,10,BNBUSDT,F_126,2026-06-03T05:55:00+00:00,2026-06-03T06:50:00+00:00,646.409241,641.89512,1000.0,-6.9834,,stop,11
0.4,0.6,10,BNBUSDT,F_126,2026-06-03T08:50:00+00:00,2026-06-03T09:15:00+00:00,646.459306,642.766907,1000.0,-5.7117,,stop,5
0.4,0.6,10,BNBUSDT,F_126,2026-06-03T10:10:00+00:00,2026-06-03T10:15:00+00:00,646.699618,642.357752,1000.0,-6.7139,,stop,1
0.4,0.6,10,BNBUSDT,F_126,2026-06-03T11:25:00+00:00,2026-06-03T11:30:00+00:00,645.077512,641.084446,1000.0,-6.1901,,stop,1
0.4,0.6,10,BNBUSDT,F_126,2026-06-03T14:50:00+00:00,2026-06-03T15:45:00+00:00,637.958269,632.803126,1000.0,-8.0807,,stop,11
0.4,0.6,10,BNBUSDT,F_126,2026-06-03T17:35:00+00:00,2026-06-03T19:25:00+00:00,629.567375,624.134943,1000.0,-8.6288,,stop,22
