symbol,NOVA_COOLDOWN_S,NOVA_MAX_PER,net,trades,win_pct,pf
BTCUSDT,120.0,2,-368.671622007217,366,35.79,0.9012567669585979
BTCUSDT,120.0,3,-531.432745744712,407,34.89,0.8732441577904145
BTCUSDT,300.0,2,-368.671622007217,366,35.79,0.9012567669585979
BTCUSDT,300.0,3,-531.432745744712,407,34.89,0.8732441577904145
ETHUSDT,120.0,2,-1477.457009414295,355,29.58,0.6910510485543092
ETHUSDT,120.0,3,-1678.7363165009117,410,29.76,0.6958167393518856
ETHUSDT,300.0,2,-1477.457009414295,355,29.58,0.6910510485543092
ETHUSDT,300.0,3,-1678.7363165009117,410,29.76,0.6958167393518856
SOLUSDT,120.0,2,483.46554311986694,355,38.03,1.0702137538304466
SOLUSDT,120.0,3,122.87185584173925,423,37.12,1.0147167150395766
SOLUSDT,300.0,2,483.46554311986694,355,38.03,1.0702137538304466
SOLUSDT,300.0,3,122.87185584173925,423,37.12,1.0147167150395766
XLMUSDT,120.0,2,639.3684852346324,320,31.88,1.1334876412553483
XLMUSDT,120.0,3,274.1083206610866,371,29.92,1.0488118713035048
XLMUSDT,300.0,2,639.3684852346324,320,31.88,1.1334876412553483
XLMUSDT,300.0,3,274.1083206610866,371,29.92,1.0488118713035048
LINKUSDT,120.0,2,960.3261115082805,346,37.28,1.161131464869405
LINKUSDT,120.0,3,1038.5828041129514,410,36.59,1.1488560114536255
LINKUSDT,300.0,2,960.3261115082805,346,37.28,1.161131464869405
LINKUSDT,300.0,3,1038.5828041129514,410,36.59,1.1488560114536255
GRAMUSDT,120.0,2,-319.0192615066681,94,28.72,0.7944690485609888
GRAMUSDT,120.0,3,-286.3593241883403,110,30.0,0.8382254441104252
GRAMUSDT,300.0,2,-319.0192615066681,94,28.72,0.7944690485609888
GRAMUSDT,300.0,3,-286.3593241883403,110,30.0,0.8382254441104252
RENDERUSDT,120.0,2,-165.9878418604484,98,31.63,0.932099209211088
RENDERUSDT,120.0,3,-417.3544490439821,122,30.33,0.8661610948962661
RENDERUSDT,300.0,2,-165.9878418604484,98,31.63,0.932099209211088
RENDERUSDT,300.0,3,-417.3544490439821,122,30.33,0.8661610948962661
FILUSDT,120.0,2,-207.24543516605172,342,35.96,0.9671923738403349
FILUSDT,120.0,3,-630.6500341069362,395,34.43,0.9145531286626406
FILUSDT,300.0,2,-207.24543516605172,342,35.96,0.9671923738403349
FILUSDT,300.0,3,-630.6500341069362,395,34.43,0.9145531286626406
