symbol,dropped,net,trades,win_pct,pf,delta_vs_all14
PEPEUSDT,MSS,6885.138613670949,726,91.18,2.797794992297781,-77.77752478973161
PEPEUSDT,FVG,6619.8119861713185,672,91.37,2.9492796714498524,-343.104152289362
PEPEUSDT,SFP,6962.9161384606805,726,91.18,2.8181036676093645,0.0
PEPEUSDT,MicroBurst,5886.129716528979,701,90.58,2.4825663121234647,-1076.7864219317016
PEPEUSDT,RSI,6828.621133762803,718,91.23,2.8035846712031502,-134.29500469787763
PEPEUSDT,MACD,6875.202286734289,696,91.52,2.910998857995502,-87.71385172639111
PEPEUSDT,Bollinger,6793.564077481496,684,91.81,2.9738957086472593,-169.3520609791849
PEPEUSDT,EMA,6712.576247795193,715,91.05,2.7527368206853025,-250.33989066548747
PEPEUSDT,ADX,6865.538613868861,705,91.35,2.8694421568908632,-97.37752459181957
PEPEUSDT,Stochastic,6847.799675597654,684,91.37,2.956749012043695,-115.11646286302675
PEPEUSDT,OBV,6416.5841806866665,651,90.63,2.8286607522816754,-546.331957774014
PEPEUSDT,SuperTrend,6962.9161384606805,726,91.18,2.8181036676093645,0.0
PEPEUSDT,RSI7,6962.9161384606805,726,91.18,2.8181036676093645,0.0
PEPEUSDT,KAMA,6582.938090121379,708,90.96,2.719313498296469,-379.9780483393015
