الخيار,المحذوف,صافي$,صفقات,عامل الربح,الفرق$
الأساس (15 عملة),لا شيء,3307.69,17350,3.784,0.0
حذف أسوأ 1 (BTC),BTCUSDT,3290.37,17159,3.7982,-17.32
"حذف أسوأ 2 (BTC, LINK)","BTCUSDT,LINKUSDT",3183.85,16696,3.7663,-123.84
"حذف أسوأ 3 (BTC, LINK, PEPE)","BTCUSDT,LINKUSDT,PEPEUSDT",2829.88,15489,3.6353,-477.81
"حذف أسوأ 4 (BTC, LINK, PEPE, DOGE)","BTCUSDT,LINKUSDT,PEPEUSDT,DOGEUSDT",2596.23,14254,3.6469,-711.46
"حذف أسوأ 5 (BTC, LINK, PEPE, DOGE, VET)","BTCUSDT,LINKUSDT,PEPEUSDT,DOGEUSDT,VETUSDT",2358.16,13017,3.6188,-949.53
