symbol,NOVA_DISP_MIN,net,trades,win_pct,pf
GRAMUSDT,1.0,-353.3148527940962,68,27.94,0.6872066270899989
GRAMUSDT,1.5,-264.6393471181293,38,26.32,0.6076268670424331
GRAMUSDT,1.6,-210.40548208875444,34,26.47,0.6465364059771046
GRAMUSDT,2.0,-171.03054830738148,18,22.22,0.49371017998291533
