NOVA_COOL_S,NOVA_MAX_PER,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
120.0,2,SOLUSDT,F_205,2026-06-01T00:26:00+00:00,2026-06-01T00:32:00+00:00,82.937679,82.672921,1000.0,-3.1922,,stop,6
120.0,2,SOLUSDT,F_205,2026-06-01T00:28:00+00:00,2026-06-01T00:31:00+00:00,83.027796,82.764348,1000.0,-3.173,,stop,3
120.0,2,SOLUSDT,F_205,2026-06-01T02:15:00+00:00,2026-06-01T02:16:00+00:00,82.417003,82.131522,1000.0,-3.4639,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T02:40:00+00:00,2026-06-01T02:41:00+00:00,82.437029,82.207163,1000.0,-2.7884,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T02:42:00+00:00,2026-06-01T02:43:00+00:00,82.517133,82.68379,1000.0,2.0197,,tp,1
120.0,2,SOLUSDT,F_205,2026-06-01T03:31:00+00:00,2026-06-01T03:34:00+00:00,83.037809,82.794322,1000.0,-2.9322,,stop,3
120.0,2,SOLUSDT,F_205,2026-06-01T05:48:00+00:00,2026-06-01T05:49:00+00:00,82.086574,81.868578,1000.0,-2.6557,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T07:06:00+00:00,2026-06-01T07:08:00+00:00,81.646002,81.407178,1000.0,-2.9251,,stop,2
120.0,2,SOLUSDT,F_205,2026-06-01T08:56:00+00:00,2026-06-01T10:03:00+00:00,81.065248,80.824325,1000.0,-2.972,,stop,67
120.0,2,SOLUSDT,F_205,2026-06-01T09:03:00+00:00,2026-06-01T09:04:00+00:00,81.225456,81.007152,1000.0,-2.6876,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T09:06:00+00:00,2026-06-01T09:07:00+00:00,81.295547,81.074299,1000.0,-2.7215,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T09:20:00+00:00,2026-06-01T09:21:00+00:00,81.355625,81.149993,1000.0,-2.5276,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T10:46:00+00:00,2026-06-01T10:47:00+00:00,81.195417,80.978579,1000.0,-2.6706,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T11:20:00+00:00,2026-06-01T11:21:00+00:00,81.30556,81.094286,1000.0,-2.5985,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T12:27:00+00:00,2026-06-01T12:31:00+00:00,81.075261,80.755856,1000.0,-3.9396,,stop,4
120.0,2,SOLUSDT,F_205,2026-06-01T12:39:00+00:00,2026-06-01T12:40:00+00:00,81.115313,80.857205,1000.0,-3.182,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T15:08:00+00:00,2026-06-01T15:09:00+00:00,79.973831,79.695806,1000.0,-3.4765,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T15:35:00+00:00,2026-06-01T15:40:00+00:00,80.023896,79.640229,1000.0,-4.7944,,stop,5
120.0,2,SOLUSDT,F_205,2026-06-01T16:30:00+00:00,2026-06-01T16:52:00+00:00,79.823636,80.030889,1000.0,2.5964,,tp,22
120.0,2,SOLUSDT,F_205,2026-06-01T16:34:00+00:00,2026-06-01T16:36:00+00:00,79.943792,79.684353,1000.0,-3.2453,,stop,2
120.0,2,SOLUSDT,F_205,2026-06-01T16:43:00+00:00,2026-06-01T16:57:00+00:00,79.993857,80.218009,1000.0,2.8021,,tp,14
120.0,2,SOLUSDT,F_205,2026-06-01T16:55:00+00:00,2026-06-01T17:07:00+00:00,80.30426,80.522302,1000.0,2.7152,,tp,12
120.0,2,SOLUSDT,F_205,2026-06-01T17:03:00+00:00,2026-06-01T17:30:00+00:00,80.584624,80.865077,1000.0,3.4802,,tp,27
120.0,2,SOLUSDT,F_205,2026-06-01T17:30:00+00:00,2026-06-01T17:32:00+00:00,80.935079,80.62727,1000.0,-3.8032,,stop,2
120.0,2,SOLUSDT,F_205,2026-06-01T17:45:00+00:00,2026-06-01T17:51:00+00:00,81.20543,80.890136,1000.0,-3.8827,,stop,6
120.0,2,SOLUSDT,F_205,2026-06-01T18:28:00+00:00,2026-06-01T18:46:00+00:00,81.035209,80.81858,1000.0,-2.6733,,stop,18
120.0,2,SOLUSDT,F_205,2026-06-01T18:33:00+00:00,2026-06-01T18:34:00+00:00,81.245482,81.008605,1000.0,-2.9156,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T19:27:00+00:00,2026-06-01T19:39:00+00:00,80.965118,81.093844,1000.0,1.5899,,tp,12
120.0,2,SOLUSDT,F_205,2026-06-01T19:30:00+00:00,2026-06-01T19:32:00+00:00,81.135339,80.905739,1000.0,-2.8298,,stop,2
120.0,2,SOLUSDT,F_205,2026-06-01T19:34:00+00:00,2026-06-01T19:36:00+00:00,81.225456,81.002872,1000.0,-2.7403,,stop,2
120.0,2,SOLUSDT,F_205,2026-06-01T19:40:00+00:00,2026-06-01T19:41:00+00:00,81.40569,81.148631,1000.0,-3.1578,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T22:26:00+00:00,2026-06-01T22:34:00+00:00,80.975131,80.707218,1000.0,-3.3086,,stop,8
120.0,2,SOLUSDT,F_205,2026-06-01T22:33:00+00:00,2026-06-01T22:34:00+00:00,81.125326,80.881472,1000.0,-3.0059,,stop,1
120.0,2,SOLUSDT,F_205,2026-06-01T22:49:00+00:00,2026-06-01T23:29:00+00:00,81.355625,81.058683,1000.0,-3.6499,,stop,40
120.0,2,SOLUSDT,F_205,2026-06-01T22:52:00+00:00,2026-06-01T23:02:00+00:00,81.475781,81.161562,1000.0,-3.8566,,stop,10
120.0,2,SOLUSDT,F_205,2026-06-02T02:25:00+00:00,2026-06-02T02:44:00+00:00,80.384364,80.050163,1000.0,-4.1575,,stop,19
120.0,2,SOLUSDT,F_205,2026-06-02T02:28:00+00:00,2026-06-02T02:40:00+00:00,80.524546,80.19159,1000.0,-4.1348,,stop,12
120.0,2,SOLUSDT,F_205,2026-06-02T02:59:00+00:00,2026-06-02T03:08:00+00:00,80.684754,80.87662,1000.0,2.378,,tp,9
120.0,2,SOLUSDT,F_205,2026-06-02T03:06:00+00:00,2026-06-02T03:11:00+00:00,80.955105,80.674378,1000.0,-3.4677,,stop,5
120.0,2,SOLUSDT,F_205,2026-06-02T03:55:00+00:00,2026-06-02T03:56:00+00:00,81.135339,80.897179,1000.0,-2.9353,,stop,1
