q,net,trades
2025Q1,12747.65,1416
2025Q2,11087.91,1448
2025Q3,10032.05,1469
2025Q4,12159.31,1487
2026Q1,10722.85,1447
2026Q2,9239.35,1491
2026Q3,4696.51,919
