q,net,trades
2025Q1,2696.96,1365
2025Q2,1873.01,1395
2025Q3,1392.74,1418
2025Q4,3458.4,1432
2026Q1,335.27,1389
2026Q2,-108.13,1415
2026Q3,98.49,877
