القياس,الفترة,cost,net,trades,per,gross,move,cost_per,costs,median_hold,id,label,reject,order,sig_in,sig_out,cool_blocked,parts,k,members,seed
حجم k=2.0,اختيار,0.001,59.23,803,0.07376,91.41,0.11383232,0.04007376,32.18,20.0,vol_k2.0,حجم k=2.0,0.2286,1.0,14139.0,1906.0,0.0,"[('vol', 2.0)]",2.0,,
حجم k=2.2,اختيار,0.001,-8.88,727,-0.01221,20.19,0.0277712,0.03998778,29.07,17.0,vol_k2.2,حجم k=2.2,0.3016,2.0,14139.0,1505.0,0.0,"[('vol', 2.2)]",2.2,,
حجم k=2.5,اختيار,0.001,4.57,603,0.00758,28.69,0.04757912,0.04000757,24.12,15.0,vol_k2.5,حجم k=2.5,0.4207,3.0,14139.0,1107.0,0.0,"[('vol', 2.5)]",2.5,,
حجم k=3.0,اختيار,0.001,-17.16,441,-0.03891,0.46,0.00104825,0.03996109,17.62,14.0,vol_k3.0,حجم k=3.0,0.5764,4.0,14139.0,707.0,0.0,"[('vol', 3.0)]",3.0,,
حجم k=3.5,اختيار,0.001,38.59,314,0.1229,51.18,0.16300876,0.04012289,12.6,13.0,vol_k3.5,حجم k=3.5,0.6984,5.0,14139.0,471.0,0.0,"[('vol', 3.5)]",3.5,,
حجم k=3.5 + جسم b=0.4,اختيار,0.001,32.73,250,0.13092,42.76,0.17105238,0.04013092,10.03,11.0,k3.5+body_b0.4,حجم k=3.5 + جسم b=0.4,0.7598,10.0,14139.0,333.0,0.0,"[('vol', 3.5), ('body', 0.4)]",,['body_b0.4'],
حجم k=3.5 + تقلب v=0.010,اختيار,0.001,39.06,307,0.12723,51.38,0.16734776,0.04012722,12.32,13.0,k3.5+atr_v0.010,حجم k=3.5 + تقلب v=0.010,0.7051,11.0,14139.0,461.0,0.0,"[('vol', 3.5), ('atr', 0.01)]",,['atr_v0.010'],
حجم k=3.5 + تهدئة n=3,اختيار,0.001,48.98,302,0.16219,61.1,0.20233431,0.04016217,12.13,13.0,k3.5+cool_n3,حجم k=3.5 + تهدئة n=3,0.7099,12.0,14139.0,471.0,14.0,"[('vol', 3.5), ('cool', 3)]",,['cool_n3'],
حجم k=3.5 + شمعة التأكيد,اختيار,0.001,0.17,162,0.00105,6.65,0.04106,0.04000106,6.48,11.0,k3.5+confirm,حجم k=3.5 + شمعة التأكيد,0.8444,13.0,14139.0,207.0,0.0,"[('vol', 3.5), ('confirm',)]",,['confirm'],
حجم k=3.5 + تهدئة n=3 + تقلب v=0.010,اختيار,0.001,49.05,296,0.16571,60.94,0.20589074,0.04016573,11.89,13.0,k3.5+cool_n3+atr_v0.010,حجم k=3.5 + تهدئة n=3 + تقلب v=0.010,0.7157,20.0,14139.0,461.0,13.0,"[('vol', 3.5), ('cool', 3), ('atr', 0.01)]",,"['cool_n3', 'atr_v0.010']",
حجم k=3.5 + تهدئة n=3,حكم,0.001,22.72,434,0.05235,40.1,0.09240414,0.04005235,17.38,18.0,k3.5+cool_n3,حجم k=3.5 + تهدئة n=3,0.7296,200.0,21078.0,613.0,14.0,"[('vol', 3.5), ('cool', 3)]",,,
حجم k=3.5 + تهدئة n=3,حكم,0.0013,18.51,434,0.04265,41.1,0.09470976,0.05205545,22.59,17.5,k3.5+cool_n3,حجم k=3.5 + تهدئة n=3,0.7296,201.0,21078.0,613.0,14.0,"[('vol', 3.5), ('cool', 3)]",,,
حجم k=3.5 + تهدئة n=3,حكم,0.00075,26.23,434,0.06044,39.27,0.09048875,0.03004533,13.04,18.0,k3.5+cool_n3,حجم k=3.5 + تهدئة n=3,0.7296,202.0,21078.0,613.0,14.0,"[('vol', 3.5), ('cool', 3)]",,,
عشوائي 0.100% بذرة 110054,حكم,0.001,-72.34,434,-0.16668,-55.06,-0.12685878,0.03983331,17.29,21.0,,,,,,,,,,,110054.0
عشوائي 0.100% بذرة 210054,حكم,0.001,-31.21,434,-0.07191,-13.88,-0.03198183,0.03992809,17.33,19.0,,,,,,,,,,,210054.0
عشوائي 0.100% بذرة 310054,حكم,0.001,5.38,434,0.0124,22.75,0.05241562,0.0400124,17.37,20.0,,,,,,,,,,,310054.0
عشوائي 0.100% بذرة 410054,حكم,0.001,-79.11,434,-0.18228,-61.83,-0.14247463,0.03981771,17.28,19.0,,,,,,,,,,,410054.0
عشوائي 0.100% بذرة 510054,حكم,0.001,-94.51,434,-0.21776,-77.25,-0.1779862,0.03978223,17.27,19.5,,,,,,,,,,,510054.0
عشوائي 0.100% بذرة 110054,اختيار,0.001,-81.34,302,-0.26934,-69.34,-0.22959459,0.03973067,12.0,18.0,,,,,,,,,,,110054.0
عشوائي 0.100% بذرة 210054,اختيار,0.001,19.06,302,0.06311,31.16,0.10317744,0.04006311,12.1,21.0,,,,,,,,,,,210054.0
عشوائي 0.100% بذرة 310054,اختيار,0.001,10.24,302,0.03391,22.33,0.07392731,0.04003389,12.09,23.0,,,,,,,,,,,310054.0
عشوائي 0.100% بذرة 410054,اختيار,0.001,5.84,302,0.01934,17.93,0.0593719,0.04001935,12.09,22.0,,,,,,,,,,,410054.0
عشوائي 0.100% بذرة 510054,اختيار,0.001,15.13,302,0.0501,27.22,0.0901479,0.0400501,12.1,20.0,,,,,,,,,,,510054.0
