القياس,الفترة,cost,net,trades,per,gross,move,cost_per,costs,median_hold,id,label,reject,order,sig_in,sig_out,cool_blocked,parts,members
حجم k=3.5 + جسم b=0.4,اختيار,0.001,32.73,250,0.13092,42.76,0.17105238,0.04013092,10.03,11.0,k3.5+body_b0.4,حجم k=3.5 + جسم b=0.4,0.7598,10,14139,333,0,"[('vol', 3.5), ('body', 0.4)]",['body_b0.4']
حجم k=3.5 + تقلب v=0.010,اختيار,0.001,39.06,307,0.12723,51.38,0.16734776,0.04012722,12.32,13.0,k3.5+atr_v0.010,حجم k=3.5 + تقلب v=0.010,0.7051,11,14139,461,0,"[('vol', 3.5), ('atr', 0.01)]",['atr_v0.010']
حجم k=3.5 + تهدئة n=3,اختيار,0.001,48.98,302,0.16219,61.1,0.20233431,0.04016217,12.13,13.0,k3.5+cool_n3,حجم k=3.5 + تهدئة n=3,0.7099,12,14139,471,14,"[('vol', 3.5), ('cool', 3)]",['cool_n3']
حجم k=3.5 + شمعة التأكيد,اختيار,0.001,0.17,162,0.00105,6.65,0.04106,0.04000106,6.48,11.0,k3.5+confirm,حجم k=3.5 + شمعة التأكيد,0.8444,13,14139,207,0,"[('vol', 3.5), ('confirm',)]",['confirm']
حجم k=3.5 + تهدئة n=3 + تقلب v=0.010,اختيار,0.001,49.05,296,0.16571,60.94,0.20589074,0.04016573,11.89,13.0,k3.5+cool_n3+atr_v0.010,حجم k=3.5 + تهدئة n=3 + تقلب v=0.010,0.7157,20,14139,461,13,"[('vol', 3.5), ('cool', 3), ('atr', 0.01)]","['cool_n3', 'atr_v0.010']"
