المحور,الإعداد,صافي$,صفقات,عامل الربح
نواة كسر البنية,جسم0.4/مدى0.6/نظر10,2636.15,11438,4.5607
نواة كسر البنية,جسم0.4/مدى0.6/نظر20,2513.64,10888,4.5404
نواة كسر البنية,جسم0.4/مدى0.6/نظر50,2404.02,10351,4.5916
نواة كسر البنية,جسم0.4/مدى0.8/نظر10,2634.36,11380,4.5909
نواة كسر البنية,جسم0.4/مدى0.8/نظر20,2512.63,10867,4.5436
نواة كسر البنية,جسم0.4/مدى0.8/نظر50,2404.24,10343,4.5969
نواة كسر البنية,جسم0.4/مدى1.0/نظر10,2605.86,11267,4.5806
نواة كسر البنية,جسم0.4/مدى1.0/نظر20,2498.29,10801,4.5444
نواة كسر البنية,جسم0.4/مدى1.0/نظر50,2394.27,10317,4.5861
نواة كسر البنية,جسم0.5/مدى0.6/نظر10,2583.96,11247,4.5394
نواة كسر البنية,جسم0.5/مدى0.6/نظر20,2471.91,10762,4.5126
نواة كسر البنية,جسم0.5/مدى0.6/نظر50,2383.38,10279,4.5775
نواة كسر البنية,جسم0.5/مدى0.8/نظر10,2581.33,11197,4.5571
نواة كسر البنية,الأساس 0.50/0.80/20,2471.07,10745,4.5161
نواة كسر البنية,جسم0.5/مدى0.8/نظر50,2383.58,10273,4.5828
نواة كسر البنية,جسم0.5/مدى1.0/نظر10,2553.25,11094,4.5471
نواة كسر البنية,جسم0.5/مدى1.0/نظر20,2457.5,10685,4.5178
نواة كسر البنية,جسم0.5/مدى1.0/نظر50,2373.92,10251,4.5724
نواة كسر البنية,جسم0.6/مدى0.6/نظر10,2524.91,10936,4.5251
نواة كسر البنية,جسم0.6/مدى0.6/نظر20,2428.24,10539,4.4979
نواة كسر البنية,جسم0.6/مدى0.6/نظر50,2354.58,10149,4.5704
نواة كسر البنية,جسم0.6/مدى0.8/نظر10,2523.69,10899,4.5481
نواة كسر البنية,جسم0.6/مدى0.8/نظر20,2427.39,10530,4.4967
نواة كسر البنية,جسم0.6/مدى0.8/نظر50,2354.48,10148,4.5702
نواة كسر البنية,جسم0.6/مدى1.0/نظر10,2503.36,10830,4.5335
نواة كسر البنية,جسم0.6/مدى1.0/نظر20,2416.99,10491,4.4977
نواة كسر البنية,جسم0.6/مدى1.0/نظر50,2345.88,10131,4.5613
إعدادات المؤشرات,RSI_LEN=7 (أصل 14),2481.0,10791,4.5336
إعدادات المؤشرات,RSI_LEN=10 (أصل 14),2481.81,10764,4.5682
إعدادات المؤشرات,RSI_LEN=21 (أصل 14),2464.81,10729,4.5186
إعدادات المؤشرات,EMA_FAST=21 (أصل 50),2505.52,10953,4.5141
إعدادات المؤشرات,EMA_FAST=34 (أصل 50),2458.1,10805,4.4938
إعدادات المؤشرات,EMA_FAST=100 (أصل 50),2431.75,10670,4.4805
إعدادات المؤشرات,EMA_SLOW=100 (أصل 200),2454.45,10761,4.5033
إعدادات المؤشرات,EMA_SLOW=150 (أصل 200),2465.26,10752,4.5115
إعدادات المؤشرات,EMA_SLOW=300 (أصل 200),2459.8,10738,4.5046
إعدادات المؤشرات,ADX_LEN=7 (أصل 14),2457.56,10862,4.4234
إعدادات المؤشرات,ADX_LEN=21 (أصل 14),2455.49,10675,4.558
إعدادات المؤشرات,ADX_TREND=18.0 (أصل 22.0),2471.07,10745,4.5161
إعدادات المؤشرات,ADX_TREND=28.0 (أصل 22.0),2471.07,10745,4.5161
إعدادات المؤشرات,BB_STD=1.5 (أصل 2.0),2471.07,10745,4.5161
إعدادات المؤشرات,BB_STD=2.5 (أصل 2.0),2471.07,10745,4.5161
