NOVA_DISP_MIN,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
1.0,BTCUSDT,F_127,2026-06-01T03:05:00+00:00,2026-06-01T03:15:00+00:00,74067.472703,73733.472988,1000.0,-4.5094,,stop,2
1.0,BTCUSDT,F_127,2026-06-01T17:00:00+00:00,2026-06-01T21:05:00+00:00,71657.043213,71287.871204,1000.0,-5.1519,,stop,49
1.0,BTCUSDT,F_127,2026-06-01T23:40:00+00:00,2026-06-02T00:00:00+00:00,71602.963,71274.191655,1000.0,-4.5916,,stop,4
1.0,BTCUSDT,F_127,2026-06-02T20:55:00+00:00,2026-06-02T22:10:00+00:00,67701.237342,67181.306531,1000.0,-7.6798,,stop,15
1.0,BTCUSDT,F_127,2026-06-03T05:05:00+00:00,2026-06-03T13:45:00+00:00,67100.377238,66557.753815,1000.0,-8.0867,,stop,104
1.0,BTCUSDT,F_127,2026-06-03T06:35:00+00:00,2026-06-03T06:45:00+00:00,67552.574331,67143.360057,1000.0,-6.0577,,stop,2
1.0,BTCUSDT,F_127,2026-06-03T10:10:00+00:00,2026-06-03T10:15:00+00:00,67527.682013,67148.252799,1000.0,-5.6189,,stop,1
1.0,BTCUSDT,F_127,2026-06-03T21:50:00+00:00,2026-06-03T22:10:00+00:00,65860.277201,65305.334043,1000.0,-8.4261,,stop,4
1.0,BTCUSDT,F_127,2026-06-04T03:05:00+00:00,2026-06-04T09:25:00+00:00,63796.868252,62808.930357,1000.0,-15.4857,,stop,76
1.0,BTCUSDT,F_127,2026-06-04T04:15:00+00:00,2026-06-04T05:00:00+00:00,64714.019,64162.386465,1000.0,-8.5242,,stop,9
1.0,BTCUSDT,F_127,2026-06-04T12:25:00+00:00,2026-06-04T14:10:00+00:00,63376.602616,64365.992192,1000.0,15.6113,,tp,21
1.0,BTCUSDT,F_127,2026-06-04T12:50:00+00:00,2026-06-04T13:15:00+00:00,63993.994183,63327.778051,1000.0,-10.4106,,stop,5
1.0,BTCUSDT,F_127,2026-06-04T13:40:00+00:00,2026-06-04T16:30:00+00:00,64233.395,63519.459358,1000.0,-11.1147,,stop,34
1.0,BTCUSDT,F_127,2026-06-05T04:30:00+00:00,2026-06-05T04:45:00+00:00,63322.532416,62796.055566,1000.0,-8.3142,,stop,3
1.0,BTCUSDT,F_127,2026-06-05T04:55:00+00:00,2026-06-05T05:40:00+00:00,63400.994284,62868.976799,1000.0,-8.3913,,stop,9
1.0,BTCUSDT,F_127,2026-06-05T20:10:00+00:00,2026-06-06T04:10:00+00:00,60964.611098,60072.867572,1000.0,-14.6272,,stop,96
1.0,BTCUSDT,F_127,2026-06-06T06:05:00+00:00,2026-06-06T10:15:00+00:00,61232.829329,60490.623442,1000.0,-12.121,,stop,50
1.0,BTCUSDT,F_127,2026-06-06T12:10:00+00:00,2026-06-06T12:20:00+00:00,61149.080597,60776.735138,1000.0,-6.0891,,stop,2
1.0,BTCUSDT,F_127,2026-06-06T21:15:00+00:00,2026-06-06T21:45:00+00:00,60939.107987,60689.060938,1000.0,-4.1032,,stop,6
1.0,BTCUSDT,F_127,2026-06-06T23:40:00+00:00,2026-06-07T01:05:00+00:00,60908.658454,61212.141943,1000.0,4.9826,,tp,17
1.0,BTCUSDT,F_127,2026-06-07T01:10:00+00:00,2026-06-07T05:10:00+00:00,61405.733813,61829.833258,1000.0,6.9065,,tp,48
1.0,BTCUSDT,F_127,2026-06-07T01:30:00+00:00,2026-06-07T01:45:00+00:00,61718.910414,61298.230414,1000.0,-6.8161,,stop,3
1.0,BTCUSDT,F_127,2026-06-07T03:20:00+00:00,2026-06-07T03:25:00+00:00,61839.88748,61493.996938,1000.0,-5.5933,,stop,1
1.0,BTCUSDT,F_127,2026-06-07T07:55:00+00:00,2026-06-07T08:45:00+00:00,62395.0082,62757.568591,1000.0,5.8107,,tp,10
1.0,BTCUSDT,F_127,2026-06-07T08:30:00+00:00,2026-06-07T08:40:00+00:00,62617.89758,62336.580254,1000.0,-4.4926,,stop,2
1.0,BTCUSDT,F_127,2026-06-07T08:50:00+00:00,2026-06-07T09:30:00+00:00,62847.645865,62489.873284,1000.0,-5.6927,,stop,8
1.0,BTCUSDT,F_127,2026-06-07T11:40:00+00:00,2026-06-07T12:05:00+00:00,62713.732003,62403.528959,1000.0,-4.9463,,stop,5
1.0,BTCUSDT,F_127,2026-06-07T14:25:00+00:00,2026-06-07T14:45:00+00:00,62126.609735,61810.734042,1000.0,-5.0844,,stop,4
1.0,BTCUSDT,F_127,2026-06-07T22:15:00+00:00,2026-06-07T22:15:00+00:00,63669.643074,63085.469496,1000.0,-9.1751,,stop,0
1.0,BTCUSDT,F_127,2026-06-08T00:30:00+00:00,2026-06-08T01:10:00+00:00,63586.5552,63163.512891,1000.0,-6.653,,stop,8
1.0,BTCUSDT,F_127,2026-06-08T07:50:00+00:00,2026-06-08T08:00:00+00:00,63432.355,63066.761489,1000.0,-5.7635,,stop,2
1.0,BTCUSDT,F_127,2026-06-08T11:40:00+00:00,2026-06-08T11:45:00+00:00,63837.490993,63453.168784,1000.0,-6.0203,,stop,1
1.0,BTCUSDT,F_127,2026-06-08T21:05:00+00:00,2026-06-08T22:05:00+00:00,63692.713026,63416.462882,1000.0,-4.3372,,stop,12
1.0,BTCUSDT,F_127,2026-06-08T21:45:00+00:00,2026-06-08T22:00:00+00:00,63920.9894,63643.205536,1000.0,-4.3457,,stop,3
1.0,BTCUSDT,F_127,2026-06-09T04:35:00+00:00,2026-06-09T07:25:00+00:00,63272.136987,62952.901686,1000.0,-5.0454,,stop,34
1.0,BTCUSDT,F_127,2026-06-09T04:50:00+00:00,2026-06-09T05:00:00+00:00,63502.446,63137.437633,1000.0,-5.7479,,stop,2
1.0,BTCUSDT,F_127,2026-06-09T05:35:00+00:00,2026-06-09T06:00:00+00:00,63596.5682,63194.962096,1000.0,-6.3149,,stop,5
1.0,BTCUSDT,F_127,2026-06-09T17:20:00+00:00,2026-06-10T02:15:00+00:00,61912.3816,61292.651719,1000.0,-10.0098,,stop,107
1.0,BTCUSDT,F_127,2026-06-09T19:35:00+00:00,2026-06-09T19:40:00+00:00,62055.26711,61735.880282,1000.0,-5.1468,,stop,1
1.0,BTCUSDT,F_127,2026-06-09T20:15:00+00:00,2026-06-09T20:20:00+00:00,62293.586523,61941.757421,1000.0,-5.6479,,stop,1
1.0,BTCUSDT,F_127,2026-06-10T01:00:00+00:00,2026-06-10T01:05:00+00:00,62003.660108,61635.03455,1000.0,-5.9452,,stop,1
1.0,BTCUSDT,F_127,2026-06-10T06:20:00+00:00,2026-06-10T06:20:00+00:00,61560.274455,61303.481905,1000.0,-4.1714,,stop,0
1.0,BTCUSDT,F_127,2026-06-10T07:05:00+00:00,2026-06-10T08:35:00+00:00,61621.533989,61320.238199,1000.0,-4.8895,,stop,18
1.0,BTCUSDT,F_127,2026-06-10T07:35:00+00:00,2026-06-10T08:00:00+00:00,61858.321413,61534.3726,1000.0,-5.2369,,stop,5
1.0,BTCUSDT,F_127,2026-06-10T12:35:00+00:00,2026-06-10T13:45:00+00:00,61747.297269,62332.493834,1000.0,9.4773,,tp,14
1.0,BTCUSDT,F_127,2026-06-10T13:45:00+00:00,2026-06-10T13:55:00+00:00,62461.314286,62043.72531,1000.0,-6.6856,,stop,2
1.0,BTCUSDT,F_127,2026-06-10T15:55:00+00:00,2026-06-10T16:05:00+00:00,62907.6738,62323.296622,1000.0,-9.2894,,stop,2
