symbol,NOVA_EPS,NOVA_FVG_MIN,NOVA_MSS_WINDOW,net,trades,win_pct,pf
FILUSDT,2.0,0.1,8,0.0,0,0.0,0.0
FILUSDT,2.0,0.1,12,6.184522021517412,1,100.0,inf
FILUSDT,2.0,0.1,20,26.75606872441208,3,100.0,inf
FILUSDT,2.0,0.2,8,0.0,0,0.0,0.0
FILUSDT,2.0,0.2,12,6.184522021517412,1,100.0,inf
FILUSDT,2.0,0.2,20,11.817556894032894,2,100.0,inf
FILUSDT,2.0,0.3,8,0.0,0,0.0,0.0
FILUSDT,2.0,0.3,12,0.0,0,0.0,0.0
FILUSDT,2.0,0.3,20,5.633034872515481,1,100.0,inf
FILUSDT,2.8,0.1,8,0.0,0,0.0,0.0
FILUSDT,2.8,0.1,12,6.184522021517412,1,100.0,inf
FILUSDT,2.8,0.1,20,11.817556894032894,2,100.0,inf
FILUSDT,2.8,0.2,8,0.0,0,0.0,0.0
FILUSDT,2.8,0.2,12,6.184522021517412,1,100.0,inf
FILUSDT,2.8,0.2,20,11.817556894032894,2,100.0,inf
FILUSDT,2.8,0.3,8,0.0,0,0.0,0.0
FILUSDT,2.8,0.3,12,0.0,0,0.0,0.0
FILUSDT,2.8,0.3,20,5.633034872515481,1,100.0,inf
FILUSDT,3.5,0.1,8,0.0,0,0.0,0.0
FILUSDT,3.5,0.1,12,6.184522021517412,1,100.0,inf
FILUSDT,3.5,0.1,20,11.817556894032894,2,100.0,inf
FILUSDT,3.5,0.2,8,0.0,0,0.0,0.0
FILUSDT,3.5,0.2,12,6.184522021517412,1,100.0,inf
FILUSDT,3.5,0.2,20,11.817556894032894,2,100.0,inf
FILUSDT,3.5,0.3,8,0.0,0,0.0,0.0
FILUSDT,3.5,0.3,12,0.0,0,0.0,0.0
FILUSDT,3.5,0.3,20,5.633034872515481,1,100.0,inf
