symbol,NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,net,trades,win_pct,pf
BTCUSDT,5,100,3,-0.22207440006242346,117,72.65,0.9712502195730336
BTCUSDT,5,100,5,-0.22207440006242346,117,72.65,0.9712502195730336
BTCUSDT,5,100,10,-0.22207440006242346,117,72.65,0.9712502195730336
BTCUSDT,5,200,3,-0.5173276087386923,153,73.2,0.9494826076419729
BTCUSDT,5,200,5,-0.5173276087386923,153,73.2,0.9494826076419729
BTCUSDT,5,200,10,-0.5173276087386923,153,73.2,0.9494826076419729
BTCUSDT,10,100,3,0.24461376446736344,293,75.77,1.0134130029391393
BTCUSDT,10,100,5,0.24461376446736344,293,75.77,1.0134130029391393
BTCUSDT,10,100,10,0.244613764467365,293,75.77,1.0134130029391393
BTCUSDT,10,200,3,0.4095560813167635,348,75.86,1.018601323040465
BTCUSDT,10,200,5,0.4095560813167635,348,75.86,1.018601323040465
BTCUSDT,10,200,10,0.4095560813167653,348,75.86,1.018601323040465
BTCUSDT,15,100,3,3.149236370946836,479,77.66,1.1149868460085455
BTCUSDT,15,100,5,3.149236370946836,479,77.66,1.1149868460085455
BTCUSDT,15,100,10,2.049118317724022,464,77.16,1.0756060091560078
BTCUSDT,15,200,3,4.39452021970867,552,77.36,1.1379927647785
BTCUSDT,15,200,5,4.39452021970867,552,77.36,1.1379927647785
BTCUSDT,15,200,10,3.5289001808655733,539,76.99,1.111812733628023
ETHUSDT,5,100,3,-0.050463836994428024,124,80.65,0.9939534639560216
ETHUSDT,5,100,5,-0.050463836994428024,124,80.65,0.9939534639560216
ETHUSDT,5,100,10,-0.050463836994428024,124,80.65,0.9939534639560216
ETHUSDT,5,200,3,1.6843996684151727,152,82.24,1.19570137579006
ETHUSDT,5,200,5,1.6843996684151727,152,82.24,1.19570137579006
ETHUSDT,5,200,10,1.6843996684151727,152,82.24,1.19570137579006
ETHUSDT,10,100,3,-3.085156724162519,296,76.01,0.864402060997083
ETHUSDT,10,100,5,-3.085156724162519,296,76.01,0.864402060997083
ETHUSDT,10,100,10,-3.5971127597309556,293,75.77,0.8419007135810851
ETHUSDT,10,200,3,0.4292345831385539,344,77.91,1.0177847703858907
ETHUSDT,10,200,5,0.4292345831385539,344,77.91,1.0177847703858907
ETHUSDT,10,200,10,-0.018838452429882024,342,77.78,0.9992194535015305
ETHUSDT,15,100,3,0.026385557785752606,466,77.04,1.000819561334931
ETHUSDT,15,100,5,0.026385557785752606,466,77.04,1.000819561334931
ETHUSDT,15,100,10,-1.1323205645799468,454,76.65,0.9646066550387317
ETHUSDT,15,200,3,2.7402429128186996,520,78.08,1.0801401618506588
ETHUSDT,15,200,5,2.7402429128186996,520,78.08,1.0801401618506588
ETHUSDT,15,200,10,1.6846707516503043,510,77.84,1.0494930454011187
SOLUSDT,5,100,3,12.526976362889238,110,92.73,4.367846400398
SOLUSDT,5,100,5,12.526976362889238,110,92.73,4.367846400398
SOLUSDT,5,100,10,12.526976362889238,110,92.73,4.367846400398
SOLUSDT,5,200,3,15.34002464849618,153,89.54,3.2428586857893484
SOLUSDT,5,200,5,15.34002464849618,153,89.54,3.2428586857893484
SOLUSDT,5,200,10,15.34002464849618,153,89.54,3.2428586857893484
SOLUSDT,10,100,3,19.63848416968222,295,88.81,2.2310320494768545
SOLUSDT,10,100,5,19.63848416968222,295,88.81,2.2310320494768545
SOLUSDT,10,100,10,19.735244759464283,295,88.81,2.2370974558554124
SOLUSDT,10,200,3,29.04703077365168,355,89.3,2.58952584401974
SOLUSDT,10,200,5,29.04703077365168,355,89.3,2.58952584401974
SOLUSDT,10,200,10,28.736770745145055,354,89.27,2.5725476427873812
SOLUSDT,15,100,3,34.97352475321559,491,89.61,2.4437812114887447
SOLUSDT,15,100,5,34.97352475321559,491,89.61,2.4437812114887447
SOLUSDT,15,100,10,34.40086831828849,483,89.44,2.4201407403832436
SOLUSDT,15,200,3,40.0987096643397,568,89.08,2.336489534618446
SOLUSDT,15,200,5,40.0987096643397,568,89.08,2.336489534618446
SOLUSDT,15,200,10,39.28625655264814,560,88.93,2.309410481695463
XLMUSDT,5,100,3,-1.0452160169017106,101,79.21,0.884610128009944
XLMUSDT,5,100,5,-0.9813330169017104,102,79.41,0.8916626904211015
XLMUSDT,5,100,10,-0.9813330169017104,102,79.41,0.8916626904211015
XLMUSDT,5,200,3,0.6402898965562608,125,79.2,1.0621117915701397
XLMUSDT,5,200,5,0.7041728965562609,126,79.37,1.0683088088934118
XLMUSDT,5,200,10,0.7041728965562609,126,79.37,1.0683088088934118
XLMUSDT,10,100,3,6.4774667228595,226,81.86,1.3790741988670034
XLMUSDT,10,100,5,6.620406691289805,228,82.02,1.3874393293010308
XLMUSDT,10,100,10,6.620406691289805,228,82.02,1.3874393293010308
XLMUSDT,10,200,3,11.633944646848594,272,83.09,1.6410890562635974
XLMUSDT,10,200,5,11.776884615278899,274,83.21,1.6489657698156217
XLMUSDT,10,200,10,11.776884615278899,274,83.21,1.6489657698156217
XLMUSDT,15,100,3,14.432078421457291,399,83.21,1.5657338613221221
XLMUSDT,15,100,5,14.715919715252266,403,83.37,1.577005238717875
XLMUSDT,15,100,10,13.413435846304523,396,83.33,1.5308796128852462
XLMUSDT,15,200,3,16.945505074033868,434,82.95,1.6086170522343972
XLMUSDT,15,200,5,17.2868244345377,439,83.14,1.62087592455203
XLMUSDT,15,200,10,16.112106565589965,434,83.18,1.5836638421281755
LINKUSDT,5,100,3,12.542418992807947,122,92.62,4.082237909591626
LINKUSDT,5,100,5,12.609714297544114,123,92.68,4.098775400446801
LINKUSDT,5,100,10,12.609714297544114,123,92.68,4.098775400446801
LINKUSDT,5,200,3,17.23996451924781,160,93.12,4.84201315295797
LINKUSDT,5,200,5,17.307259823983976,161,93.17,4.857010251451997
LINKUSDT,5,200,10,17.307259823983976,161,93.17,4.857010251451997
LINKUSDT,10,100,3,20.049216479200265,307,90.23,2.514532301765668
LINKUSDT,10,100,5,20.049216479200265,307,90.23,2.514532301765668
LINKUSDT,10,100,10,20.049216479200265,307,90.23,2.514532301765668
LINKUSDT,10,200,3,22.635148549421043,374,88.77,2.249494838137533
LINKUSDT,10,200,5,22.635148549421043,374,88.77,2.249494838137533
LINKUSDT,10,200,10,22.635148549421043,374,88.77,2.249494838137533
LINKUSDT,15,100,3,25.257524705364713,511,87.67,1.859771151588449
LINKUSDT,15,100,5,25.257524705364713,511,87.67,1.859771151588449
LINKUSDT,15,100,10,25.099996696318975,502,87.85,1.878853245199465
LINKUSDT,15,200,3,26.581373493835105,582,86.6,1.7377945468835658
LINKUSDT,15,200,5,26.581373493835105,582,86.6,1.7377945468835658
LINKUSDT,15,200,10,25.837146840672652,572,86.54,1.7208878072939409
GRAMUSDT,5,100,3,-0.7846155177089328,27,70.37,0.756035442257372
GRAMUSDT,5,100,5,-0.7846155177089328,27,70.37,0.756035442257372
GRAMUSDT,5,100,10,-0.7846155177089328,27,70.37,0.756035442257372
GRAMUSDT,5,200,3,0.5221526014575839,37,78.38,1.1639501075516296
GRAMUSDT,5,200,5,0.5221526014575839,37,78.38,1.1639501075516296
GRAMUSDT,5,200,10,0.5221526014575839,37,78.38,1.1639501075516296
GRAMUSDT,10,100,3,-1.3690932043741824,69,78.26,0.8025612787279445
GRAMUSDT,10,100,5,-1.3690932043741824,69,78.26,0.8025612787279445
GRAMUSDT,10,100,10,-1.3690932043741824,69,78.26,0.8025612787279445
GRAMUSDT,10,200,3,-0.8172667947739389,87,80.46,0.8960310488714875
GRAMUSDT,10,200,5,-0.8172667947739389,87,80.46,0.8960310488714875
GRAMUSDT,10,200,10,-0.8172667947739389,87,80.46,0.8960310488714875
GRAMUSDT,15,100,3,-2.520327390484741,109,77.98,0.7986662980241265
GRAMUSDT,15,100,5,-2.520327390484741,109,77.98,0.7986662980241265
GRAMUSDT,15,100,10,-2.8898317257219914,106,77.36,0.769148832955772
GRAMUSDT,15,200,3,-0.5275992914215838,136,79.41,0.9621834241134671
GRAMUSDT,15,200,5,-0.5275992914215838,136,79.41,0.9621834241134671
GRAMUSDT,15,200,10,-0.5998825240021018,132,79.55,0.9560664477440884
RENDERUSDT,5,100,3,4.355293098093688,33,93.94,4.189789987506572
RENDERUSDT,5,100,5,4.355293098093688,33,93.94,4.189789987506572
RENDERUSDT,5,100,10,4.355293098093688,33,93.94,4.189789987506572
RENDERUSDT,5,200,3,3.965377150104031,41,90.24,2.3960567829511494
RENDERUSDT,5,200,5,3.965377150104031,41,90.24,2.3960567829511494
RENDERUSDT,5,200,10,3.965377150104031,41,90.24,2.3960567829511494
RENDERUSDT,10,100,3,13.483690162052929,89,94.38,5.321486068183534
RENDERUSDT,10,100,5,13.483690162052929,89,94.38,5.321486068183534
RENDERUSDT,10,100,10,13.483690162052929,89,94.38,5.321486068183534
RENDERUSDT,10,200,3,16.140141250689354,102,94.12,5.285737967731776
RENDERUSDT,10,200,5,16.140141250689354,102,94.12,5.285737967731776
RENDERUSDT,10,200,10,16.140141250689354,102,94.12,5.285737967731776
RENDERUSDT,15,100,3,23.20744756300908,150,95.33,6.0324637473972595
RENDERUSDT,15,100,5,23.20744756300908,150,95.33,6.0324637473972595
RENDERUSDT,15,100,10,22.726591310575333,148,95.27,5.92819154548828
RENDERUSDT,15,200,3,27.079825301349793,163,95.71,6.58358426514321
RENDERUSDT,15,200,5,27.079825301349793,163,95.71,6.58358426514321
RENDERUSDT,15,200,10,26.598969048916047,161,95.65,6.484436601707178
FILUSDT,5,100,3,9.97662050821824,120,87.5,2.3271514034029535
FILUSDT,5,100,5,9.97662050821824,120,87.5,2.3271514034029535
FILUSDT,5,100,10,9.97662050821824,120,87.5,2.3271514034029535
FILUSDT,5,200,3,14.324803272832488,152,89.47,2.705257521777318
FILUSDT,5,200,5,14.324803272832488,152,89.47,2.705257521777318
FILUSDT,5,200,10,14.324803272832488,152,89.47,2.705257521777318
FILUSDT,10,100,3,16.438292368253954,299,86.62,1.756407359602944
FILUSDT,10,100,5,16.438292368253954,299,86.62,1.756407359602944
FILUSDT,10,100,10,16.318049924442896,298,86.58,1.7508744084059586
FILUSDT,10,200,3,21.468565807451178,345,86.96,1.8672887104649056
FILUSDT,10,200,5,21.468565807451178,345,86.96,1.8672887104649056
FILUSDT,10,200,10,21.34832336364012,344,86.92,1.8624311473201964
FILUSDT,15,100,3,34.13984872945367,491,87.98,2.1647634404673193
FILUSDT,15,100,5,34.13984872945367,491,87.98,2.1647634404673193
FILUSDT,15,100,10,31.35717622506545,478,87.66,2.070905274110888
FILUSDT,15,200,3,39.89781566750074,561,88.24,2.201164821430847
FILUSDT,15,200,5,39.89781566750074,561,88.24,2.201164821430847
FILUSDT,15,200,10,37.33773245032559,549,87.98,2.1250915917264
