symbol,NOVA_EMA_FAST,NOVA_EMA_SLOW,NOVA_VOL_MULT,net,trades,win_pct,pf
FILUSDT,8,20,1.0,6.29981102380952,78,83.33,2.2891385839802876
FILUSDT,8,20,1.2,3.5261090843435854,56,82.14,1.8891701959973057
FILUSDT,8,20,1.5,3.014402021985753,34,85.29,2.5155431443180505
FILUSDT,8,21,1.0,6.158170888240024,68,83.82,2.6082789743202257
FILUSDT,8,21,1.2,3.6469254397728044,48,83.33,2.2541768212277558
FILUSDT,8,21,1.5,3.064538825391766,30,86.67,3.1607712026109156
FILUSDT,9,20,1.0,7.7537518325751895,73,86.3,3.425414071713128
FILUSDT,9,20,1.2,4.859036489288987,51,86.27,3.1352230266030214
FILUSDT,9,20,1.5,3.7307819326648053,29,89.66,5.745967014114533
FILUSDT,9,21,1.0,6.697843069974428,63,85.71,3.246742894235262
FILUSDT,9,21,1.2,4.186597621507207,43,86.05,3.0324131335732405
FILUSDT,9,21,1.5,3.5403280071261696,24,91.67,7.207265413768836
