التركيبة,صفقات,صافي$,عامل الربح,فوز%,متوسط الرابحة$,متوسط الخاسرة$,نسبة العائد,أسوأ صفقة$,أقصى هبوط$,مدة الهبوط(يوم),أسوأ يوم$,أطول سلسلة خسائر,DSR,z,فرق الصافي$,فرق الهبوط$
الأساس (كما هي),10521,1578.37,2.6184,89.75,0.2704,-0.9047,0.2989,-2.96,24.5,13.0,-18.59,17,1.0,20.453,0.0,0.0
وقف أضيق 1.5,10720,1464.96,2.4012,85.83,0.2728,-0.6883,0.3964,-2.23,18.48,13.5,-13.21,17,1.0,20.296,-113.41,-6.02
وقف أضيق 1.0,11104,1184.31,1.9579,76.94,0.2834,-0.4828,0.5869,-1.68,15.96,22.0,-9.5,17,1.0,18.91,-394.06,-8.54
وقف أضيق 0.75,11459,849.07,1.5929,66.98,0.2972,-0.3785,0.7853,-1.9,21.49,38.8,-8.8,19,1.0,14.964,-729.3,-3.01
وقف أوسع 2.5,10370,1651.86,2.798,92.05,0.2693,-1.1149,0.2415,-3.43,25.2,17.7,-17.85,12,1.0,20.206,73.49,0.7
تسليح أبكر 0.0015,10699,1714.66,3.0996,91.51,0.2585,-0.8994,0.2874,-2.8,24.5,9.0,-18.59,17,1.0,20.632,136.29,0.0
تسليح أبطأ 0.0040,10261,1404.27,2.1654,87.18,0.2917,-0.9163,0.3183,-2.96,31.41,25.8,-18.59,21,1.0,18.989,-174.1,6.91
قفل أعلى 0.0060,10522,1669.42,2.7117,89.75,0.28,-0.9047,0.3095,-2.96,24.5,12.7,-18.56,17,1.0,20.852,91.05,0.0
قفل أدنى 0.0025,10520,1495.1,2.533,89.75,0.2616,-0.9047,0.2892,-2.96,24.5,16.7,-18.6,17,1.0,20.014,-83.27,0.0
وقف 1.0 + تسليح أبكر,11196,1278.33,2.1311,79.02,0.2722,-0.4811,0.5658,-1.68,14.91,13.5,-9.5,18,1.0,19.627,-300.04,-9.59
وقف 1.5 + قفل أعلى,10721,1552.07,2.4846,85.83,0.2823,-0.6883,0.4101,-2.23,18.48,13.5,-13.18,17,1.0,20.69,-26.3,-6.02
تسليح أبكر + قفل أعلى,10700,1821.39,3.2302,91.51,0.2694,-0.8994,0.2995,-2.8,24.5,8.0,-18.56,17,1.0,20.82,243.02,0.0
تسليح أبكر + وقف أوسع,10563,1791.62,3.3864,93.59,0.2572,-1.1089,0.2319,-3.43,22.6,9.8,-17.95,12,1.0,20.403,213.25,-1.9
الثلاثة معًا,10564,1898.85,3.5292,93.59,0.268,-1.1089,0.2417,-3.43,22.47,7.2,-17.92,12,1.0,20.578,320.48,-2.03
تسليح 0.0010,10799,1808.4,3.5167,92.55,0.2528,-0.8937,0.2829,-2.8,24.5,7.7,-18.59,17,1.0,20.429,230.03,0.0
قفل 0.0075,10523,1784.11,2.8293,89.76,0.2922,-0.9047,0.3229,-2.96,24.5,12.2,-18.53,17,1.0,21.264,205.74,0.0
