symbol,NOVA_EXT_MAX,NOVA_EMA_X,NOVA_EMA_PCT,net,trades,win_pct,pf
SOLUSDT,-0.15,4,0.05,0.0,0,0.0,0.0
SOLUSDT,-0.15,4,0.08,0.0,0,0.0,0.0
SOLUSDT,-0.15,4,0.1,0.0,0,0.0,0.0
SOLUSDT,-0.15,6,0.05,0.0,0,0.0,0.0
SOLUSDT,-0.15,6,0.08,0.0,0,0.0,0.0
SOLUSDT,-0.15,6,0.1,0.0,0,0.0,0.0
SOLUSDT,-0.15,8,0.05,0.0,0,0.0,0.0
SOLUSDT,-0.15,8,0.08,0.0,0,0.0,0.0
SOLUSDT,-0.15,8,0.1,0.0,0,0.0,0.0
SOLUSDT,0.1,4,0.05,4.160216217813281,15,93.33,3.460100171957104
SOLUSDT,0.1,4,0.08,4.160216217813281,15,93.33,3.460100171957104
SOLUSDT,0.1,4,0.1,4.160216217813281,15,93.33,3.460100171957104
SOLUSDT,0.1,6,0.05,4.160216217813281,15,93.33,3.460100171957104
SOLUSDT,0.1,6,0.08,4.160216217813281,15,93.33,3.460100171957104
SOLUSDT,0.1,6,0.1,4.160216217813281,15,93.33,3.460100171957104
SOLUSDT,0.1,8,0.05,4.160216217813281,15,93.33,3.460100171957104
SOLUSDT,0.1,8,0.08,4.160216217813281,15,93.33,3.460100171957104
SOLUSDT,0.1,8,0.1,4.160216217813281,15,93.33,3.460100171957104
SOLUSDT,0.5,4,0.05,14.960612469835734,58,94.83,4.891053132261517
SOLUSDT,0.5,4,0.08,14.960612469835734,58,94.83,4.891053132261517
SOLUSDT,0.5,4,0.1,14.960612469835734,58,94.83,4.891053132261517
SOLUSDT,0.5,6,0.05,14.960612469835734,58,94.83,4.891053132261517
SOLUSDT,0.5,6,0.08,14.960612469835734,58,94.83,4.891053132261517
SOLUSDT,0.5,6,0.1,14.960612469835734,58,94.83,4.891053132261517
SOLUSDT,0.5,8,0.05,14.960612469835734,58,94.83,4.891053132261517
SOLUSDT,0.5,8,0.08,14.960612469835734,58,94.83,4.891053132261517
SOLUSDT,0.5,8,0.1,14.960612469835734,58,94.83,4.891053132261517
SOLUSDT,1.0,4,0.05,24.355682275295965,93,93.55,4.235407303157299
SOLUSDT,1.0,4,0.08,24.55355278762993,94,93.62,4.261692409583331
SOLUSDT,1.0,4,0.1,24.55355278762993,94,93.62,4.261692409583331
SOLUSDT,1.0,6,0.05,24.55355278762993,94,93.62,4.261692409583331
SOLUSDT,1.0,6,0.08,24.55355278762993,94,93.62,4.261692409583331
SOLUSDT,1.0,6,0.1,24.55355278762993,94,93.62,4.261692409583331
SOLUSDT,1.0,8,0.05,24.55355278762993,94,93.62,4.261692409583331
SOLUSDT,1.0,8,0.08,24.55355278762993,94,93.62,4.261692409583331
SOLUSDT,1.0,8,0.1,24.55355278762993,94,93.62,4.261692409583331
