symbol,NOVA_EXIT,NOVA_TRIGGER,blind_net,trades,win_pct,pf
DOGEUSDT,std,MSS,58.263940136933954,2,50.0,2.439960253822115
DOGEUSDT,std,FVG,-1282.6654614726183,188,31.91,0.8348072182197859
DOGEUSDT,std,SFP,92.83071746391687,45,33.33,1.0530958438348406
DOGEUSDT,std,MicroBurst,-1219.4699403993181,169,29.59,0.824488941237529
DOGEUSDT,std,RSI,-542.6833765438006,74,28.38,0.8486105395921816
DOGEUSDT,std,MACD,-805.9404970364244,124,33.06,0.8405019675632225
DOGEUSDT,std,Bollinger,-1957.8683050507684,196,28.57,0.7491148664887148
DOGEUSDT,std,EMA,-632.2917274998887,43,30.23,0.6849195873478345
DOGEUSDT,std,ADX,-491.4151371858755,79,27.85,0.8269426836795657
DOGEUSDT,std,Stochastic,-1373.5557450192618,101,26.73,0.71756855873388
DOGEUSDT,std,OBV,-1973.632271080336,214,28.5,0.7619123924722476
DOGEUSDT,std,SuperTrend,0.0,0,0.0,0.0
DOGEUSDT,std,RSI7,-1047.7953873008983,71,28.17,0.6925178059893439
DOGEUSDT,std,KAMA,100.30127943622148,69,37.68,1.0430967527973387
DOGEUSDT,std,ELITE8,-3445.3293013612265,468,30.56,0.8139623263263833
DOGEUSDT,std,ALL14,-6344.27026100942,723,29.6,0.7828583011182179
DOGEUSDT,dual,MSS,16.933221012840768,2,100.0,inf
DOGEUSDT,dual,FVG,3472.558097955556,279,92.11,3.9673443476432926
DOGEUSDT,dual,SFP,461.8722774485791,56,92.86,3.685176980837517
DOGEUSDT,dual,MicroBurst,2810.051917461499,227,88.55,3.0645748913144475
DOGEUSDT,dual,RSI,1436.118760273655,106,92.45,4.87606208919934
DOGEUSDT,dual,MACD,1209.0141662304711,162,88.27,2.2656748542595864
DOGEUSDT,dual,Bollinger,1418.2968338502608,285,87.37,2.00431519504014
DOGEUSDT,dual,EMA,451.54115734383157,55,90.91,2.3533221707447978
DOGEUSDT,dual,ADX,292.3860804387638,90,85.56,1.5342558737934289
DOGEUSDT,dual,Stochastic,1005.9063805478387,140,89.29,2.249343147114769
DOGEUSDT,dual,OBV,1691.8077695582424,299,86.96,1.9146315915401388
DOGEUSDT,dual,SuperTrend,0.0,0,0.0,0.0
DOGEUSDT,dual,RSI7,894.8842038122127,94,87.23,2.705433048674029
DOGEUSDT,dual,KAMA,498.118193451879,92,83.7,1.6086404232070524
DOGEUSDT,dual,ELITE8,4233.0123463001555,638,87.3,2.099359756408446
DOGEUSDT,dual,ALL14,7077.156100584753,920,88.59,2.395735004158626
