symbol,NOVA_SCORE_TH,NOVA_FLOW_MOM,NOVA_VOL_MOM,net,trades,win_pct,pf
BTCUSDT,70,2.5,2.0,5.58794969588858,207,75.36,1.3912725629125573
BTCUSDT,70,2.5,2.5,6.4189759903921795,200,76.5,1.4897312794628057
BTCUSDT,70,2.5,3.0,6.885432495950286,191,77.49,1.6040832041970325
BTCUSDT,70,3.0,2.0,5.569602016483441,201,75.12,1.4018379152468654
BTCUSDT,70,3.0,2.5,6.5868039167689885,193,76.68,1.5269524354456618
BTCUSDT,70,3.0,3.0,6.632104283953885,185,77.3,1.5915196164733505
BTCUSDT,70,4.0,2.0,5.717698340130725,185,75.14,1.4528509195238781
BTCUSDT,70,4.0,2.5,6.077213795610544,179,75.98,1.516580626339786
BTCUSDT,70,4.0,3.0,5.9783718908965815,171,76.02,1.5508254693671566
BTCUSDT,72,2.5,2.0,5.58794969588858,207,75.36,1.3912725629125573
BTCUSDT,72,2.5,2.5,6.4189759903921795,200,76.5,1.4897312794628057
BTCUSDT,72,2.5,3.0,6.885432495950286,191,77.49,1.6040832041970325
BTCUSDT,72,3.0,2.0,5.569602016483441,201,75.12,1.4018379152468654
BTCUSDT,72,3.0,2.5,6.5868039167689885,193,76.68,1.5269524354456618
BTCUSDT,72,3.0,3.0,6.632104283953885,185,77.3,1.5915196164733505
BTCUSDT,72,4.0,2.0,5.717698340130725,185,75.14,1.4528509195238781
BTCUSDT,72,4.0,2.5,6.077213795610544,179,75.98,1.516580626339786
BTCUSDT,72,4.0,3.0,5.9783718908965815,171,76.02,1.5508254693671566
BTCUSDT,75,2.5,2.0,5.58794969588858,207,75.36,1.3912725629125573
BTCUSDT,75,2.5,2.5,6.4189759903921795,200,76.5,1.4897312794628057
BTCUSDT,75,2.5,3.0,6.885432495950286,191,77.49,1.6040832041970325
BTCUSDT,75,3.0,2.0,5.569602016483441,201,75.12,1.4018379152468654
BTCUSDT,75,3.0,2.5,6.5868039167689885,193,76.68,1.5269524354456618
BTCUSDT,75,3.0,3.0,6.632104283953885,185,77.3,1.5915196164733505
BTCUSDT,75,4.0,2.0,5.717698340130725,185,75.14,1.4528509195238781
BTCUSDT,75,4.0,2.5,6.077213795610544,179,75.98,1.516580626339786
BTCUSDT,75,4.0,3.0,5.9783718908965815,171,76.02,1.5508254693671566
ETHUSDT,70,2.5,2.0,-2.10217765633561,225,73.33,0.8989750396708988
ETHUSDT,70,2.5,2.5,0.4285477231607236,205,75.12,1.0249829852566004
ETHUSDT,70,2.5,3.0,0.15885332432456722,187,74.87,1.009878973501415
ETHUSDT,70,3.0,2.0,-1.8013224961690355,223,73.54,0.9113270256015603
ETHUSDT,70,3.0,2.5,0.6655198833273015,202,75.25,1.039948831537842
ETHUSDT,70,3.0,3.0,0.5892459413240544,185,75.14,1.0378069126993639
ETHUSDT,70,4.0,2.0,0.2185375339953493,197,75.13,1.0131790392637332
ETHUSDT,70,4.0,2.5,2.106115920242109,183,77.05,1.1501577909648983
ETHUSDT,70,4.0,3.0,1.9674138915950823,168,76.79,1.1475143615357155
ETHUSDT,72,2.5,2.0,-2.10217765633561,225,73.33,0.8989750396708988
ETHUSDT,72,2.5,2.5,0.4285477231607236,205,75.12,1.0249829852566004
ETHUSDT,72,2.5,3.0,0.15885332432456722,187,74.87,1.009878973501415
ETHUSDT,72,3.0,2.0,-1.8013224961690355,223,73.54,0.9113270256015603
ETHUSDT,72,3.0,2.5,0.6655198833273015,202,75.25,1.039948831537842
ETHUSDT,72,3.0,3.0,0.5892459413240544,185,75.14,1.0378069126993639
ETHUSDT,72,4.0,2.0,0.2185375339953493,197,75.13,1.0131790392637332
ETHUSDT,72,4.0,2.5,2.106115920242109,183,77.05,1.1501577909648983
ETHUSDT,72,4.0,3.0,1.9674138915950823,168,76.79,1.1475143615357155
ETHUSDT,75,2.5,2.0,-2.10217765633561,225,73.33,0.8989750396708988
ETHUSDT,75,2.5,2.5,0.4285477231607236,205,75.12,1.0249829852566004
ETHUSDT,75,2.5,3.0,0.15885332432456722,187,74.87,1.009878973501415
ETHUSDT,75,3.0,2.0,-1.8013224961690355,223,73.54,0.9113270256015603
ETHUSDT,75,3.0,2.5,0.6655198833273015,202,75.25,1.039948831537842
ETHUSDT,75,3.0,3.0,0.5892459413240544,185,75.14,1.0378069126993639
ETHUSDT,75,4.0,2.0,0.2185375339953493,197,75.13,1.0131790392637332
ETHUSDT,75,4.0,2.5,2.106115920242109,183,77.05,1.1501577909648983
ETHUSDT,75,4.0,3.0,1.9674138915950823,168,76.79,1.1475143615357155
SOLUSDT,70,2.5,2.0,19.89609651191616,248,85.08,2.0255893757920496
SOLUSDT,70,2.5,2.5,17.972827692231732,223,84.3,2.019201978517609
SOLUSDT,70,2.5,3.0,15.485960617925778,200,83.5,1.9452734754592187
SOLUSDT,70,3.0,2.0,18.894009008128048,238,85.29,2.0296936681355633
SOLUSDT,70,3.0,2.5,17.098506188443615,215,84.65,2.0310428966997636
SOLUSDT,70,3.0,3.0,15.209149667812797,196,84.18,1.991987119046574
SOLUSDT,70,4.0,2.0,17.101281399801206,212,85.38,2.089222477085314
SOLUSDT,70,4.0,2.5,15.523565449287565,197,84.77,2.020434798954731
SOLUSDT,70,4.0,3.0,14.20462946528378,183,84.15,1.9918890600187977
SOLUSDT,72,2.5,2.0,19.89609651191616,248,85.08,2.0255893757920496
SOLUSDT,72,2.5,2.5,17.972827692231732,223,84.3,2.019201978517609
SOLUSDT,72,2.5,3.0,15.485960617925778,200,83.5,1.9452734754592187
SOLUSDT,72,3.0,2.0,18.894009008128048,238,85.29,2.0296936681355633
SOLUSDT,72,3.0,2.5,17.098506188443615,215,84.65,2.0310428966997636
SOLUSDT,72,3.0,3.0,15.209149667812797,196,84.18,1.991987119046574
SOLUSDT,72,4.0,2.0,17.101281399801206,212,85.38,2.089222477085314
SOLUSDT,72,4.0,2.5,15.523565449287565,197,84.77,2.020434798954731
SOLUSDT,72,4.0,3.0,14.20462946528378,183,84.15,1.9918890600187977
SOLUSDT,75,2.5,2.0,19.89609651191616,248,85.08,2.0255893757920496
