العمود,صافي_4h$,صفقات_4h,صافي_2h$,صفقات_2h,الفرق$
كاسرة النطاق,2837.36,15091,3434.57,29800,597.21
انحراف الدخول,260.21,1268,328.78,2462,68.57
التنقيط التعويضي,210.13,991,237.8,1773,27.67
