المرشح,دقائق,صافي$,صفقات,عامل الربح,ربح_الصفقة$,الفرق$
4h (الأساس),240,3307.69,17350,3.784,0.19064,0.0
2h (المتصدر بالقرار),120,4001.15,34035,2.7314,0.11756,693.46
6h,360,2935.22,11624,4.7388,0.25251,-372.47
