symbol,NOVA_DISP_MIN,net,trades,win_pct,pf
XLMUSDT,1.0,95.87179607342941,226,29.2,1.027154794292649
XLMUSDT,1.5,264.12447536919274,132,28.03,1.1192259169416305
XLMUSDT,1.6,420.591349112171,117,29.91,1.22728333218116
XLMUSDT,2.0,493.87872284817865,72,31.94,1.4409295636988504
